VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BABALA,469,0,0,9,47,7,0,7
BAIJINATH,155,28,26,26,16,32,0,3
BANNATOLI,373,1,1,5,215,1,0,4
BARADADIVI,307,0,2,85,439,0,0,0
BASTI,467,1,37,32,116,9,2,4
BATULASEN,425,0,0,8,242,12,13,5
BAYALA,264,0,26,3,437,18,0,11
BHAGYASWORI,37,1,1,10,192,0,2,0
BHAIRABSTHAN,554,1,2,34,194,27,0,8
BHATAKATIYA,799,0,1,13,7,0,0,8
BHULI,120,0,32,25,345,1,0,3
BINAYAK,624,0,17,7,368,5,0,12
BINDHYAWASINI,530,0,0,0,16,0,0,13
BIRPATH,376,0,0,64,84,7,1,0
BUDHAKOT,444,1,5,0,61,1,0,5
CHALSA,370,2,1,2,77,4,2,3
CHANDIKA(BAYALPATA),117,0,107,72,142,0,0,1
CHAPHAMANDAU,229,0,0,0,12,0,0,0
DARNA,308,0,0,13,478,0,0,2
DEVISTHAN,368,0,0,0,25,0,0,0
DHAKARI,257,0,10,24,424,2,0,8
DHAKU,80,0,0,41,231,0,1,3
DHAMALI,262,0,1,0,442,1,1,3
DHODASAIN,51,0,14,85,676,8,0,14
DHUDHARUKOT,384,0,36,31,167,0,3,0
DHUNGACHALNA,693,1,2,78,189,10,3,6
DUNI,457,1,0,2,39,1,4,5
GAJARA,109,0,0,8,236,0,0,1
HATIKOT,218,0,29,4,83,8,0,4
HICHMA,548,2,2,10,389,35,0,8
JALAPADEVI,274,0,10,4,197,52,0,5
JANALIBANDALI,276,0,4,87,258,22,0,1
JANALIKOT,121,0,108,0,137,1,0,1
JUPU,89,1,24,2,489,1,0,1
KALAGAU,213,0,3,13,358,0,0,2
KALEKANDA,349,0,0,45,97,71,0,0
KALIKA,392,2,145,3,61,0,0,2
KALIKASTHAN,479,0,25,18,45,83,0,1
KHAPTAD,266,0,0,1,13,3,2,4
KHODASADEVI,566,0,0,17,121,2,0,8
KUIKA,369,0,0,40,361,2,0,5
KUNTIBANDALI,158,0,16,139,277,1,2,1
KUSHKOT,705,0,15,41,25,0,0,6
LAYATI,180,0,3,84,202,16,0,5
LUNGRA,560,0,60,11,134,0,0,2
MALATIKOT,298,0,0,3,136,6,0,2
MANGALSEN,1134,2,13,40,1008,2,17,6
MARKU,432,0,0,4,31,0,0,4
MASHTANAMDALI,26,0,2,119,218,0,0,2
MASTAMANDAU,522,3,66,4,90,9,0,8
NADA,236,1,0,21,226,17,0,0
NANDEGADA,494,0,23,43,85,0,0,3
NAWATHANA,261,0,20,18,71,1,0,1
OLIGAU,134,2,2,55,477,5,1,0
PATALKOT,245,0,90,34,126,4,1,5
PAYAL,687,0,25,71,269,1,0,1
PULLETALA,438,0,22,19,104,4,0,2
RAHAPH,206,0,4,111,459,57,0,7
RAMAROSAN,519,1,0,37,444,29,0,1
RANIBAN,411,0,0,11,46,45,0,1
RIDIKOT,224,1,1,28,62,7,0,5
RISIDAHA,668,3,2,67,90,0,0,0
SANTADA,246,0,10,1,233,11,5,3
SERA,300,0,6,49,159,0,0,7
SIDDHESWOR,308,19,103,96,287,101,1,2
SIUDI,332,2,343,5,253,22,0,7
SOUKAT,646,1,434,43,184,39,0,1
SUTAR,156,0,78,119,238,6,0,1
THANTI,356,0,0,5,102,0,0,8
TIMILSAIN,92,1,121,65,130,3,0,0
TOLI,189,0,3,40,418,38,2,10
TOSI,173,0,0,20,229,0,1,1
TURMAKHAD,635,0,1,12,112,1,0,1
WALANT,654,0,0,7,26,14,0,5
WARLA,415,0,63,58,126,0,1,1
TOTAL,26829,78,2197,2401,15603,865,65,280
