VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,48351,257477,120008,137469,5.325163905606916,87.29822723668609
BABALA,539,2813,1243,1570,5.2189239332096475,79.171974522293
BAIJINATH,286,1271,583,688,4.444055944055944,84.73837209302324
BANNATOLI,600,2933,1312,1621,4.888333333333334,80.9376927822332
BARADADIVI,833,4452,2022,2430,5.34453781512605,83.20987654320989
BASTI,668,3716,1739,1977,5.562874251497006,87.9615579160344
BATULASEN,705,4199,2027,2172,5.9560283687943265,93.32412523020258
BAYALA,759,3948,1832,2116,5.201581027667984,86.57844990548205
BHAGYASWORI,243,1091,461,630,4.489711934156379,73.17460317460316
BHAIRABSTHAN,820,4382,2111,2271,5.34390243902439,92.95464553060326
BHATAKATIYA,828,4653,2254,2399,5.619565217391305,93.95581492288454
BHULI,526,2779,1251,1528,5.283269961977187,81.8717277486911
BINAYAK,1033,5611,2585,3026,5.431752178121974,85.42630535360212
BINDHYAWASINI,559,3222,1500,1722,5.76386404293381,87.10801393728222
BIRPATH,532,2875,1387,1488,5.404135338345864,93.21236559139786
BUDHAKOT,517,2877,1309,1568,5.564796905222437,83.48214285714286
CHALSA,461,2564,1272,1292,5.561822125813449,98.45201238390094
CHANDIKA(BAYALPATA),439,2111,932,1179,4.808656036446469,79.05004240882103
CHAPHAMANDAU,241,1281,587,694,5.3153526970954355,84.5821325648415
DARNA,801,4387,1888,2499,5.476903870162297,75.55022008803522
DEVISTHAN,393,2215,1029,1186,5.636132315521628,86.76222596964587
DHAKARI,725,4036,1901,2135,5.566896551724138,89.03981264637002
DHAKU,356,1801,833,968,5.058988764044944,86.05371900826447
DHAMALI,710,3801,1706,2095,5.353521126760564,81.43198090692124
DHODASAIN,848,4782,2304,2478,5.639150943396227,92.97820823244552
DHUDHARUKOT,621,3124,1409,1715,5.030595813204509,82.15743440233237
DHUNGACHALNA,982,5656,2815,2841,5.759674134419552,99.08482928546286
DUNI,509,2457,1177,1280,4.827111984282908,91.953125
GAJARA,354,1599,692,907,4.516949152542373,76.2954796030871
HATIKOT,346,1847,783,1064,5.338150289017341,73.59022556390977
HICHMA,994,5355,2499,2856,5.387323943661972,87.5
JALAPADEVI,542,2613,1093,1520,4.821033210332104,71.90789473684211
JANALIBANDALI,648,3304,1442,1862,5.098765432098766,77.44360902255639
JANALIKOT,368,1780,731,1049,4.836956521739131,69.68541468064824
JUPU,607,2891,1265,1626,4.762767710049423,77.79827798277982
KALAGAU,589,2708,1162,1546,4.597623089983022,75.16170763260025
KALEKANDA,562,3490,1637,1853,6.209964412811388,88.34322719913654
KALIKA,605,3081,1273,1808,5.092561983471074,70.40929203539822
KALIKASTHAN,651,3423,1564,1859,5.258064516129032,84.13125336202259
KHAPTAD,289,1695,831,864,5.865051903114187,96.18055555555556
KHODASADEVI,714,3934,1855,2079,5.509803921568627,89.22558922558923
KUIKA,777,4281,1949,2332,5.5096525096525095,83.57632933104632
KUNTIBANDALI,594,3169,1428,1741,5.335016835016835,82.02182653647328
KUSHKOT,792,4654,2186,2468,5.876262626262626,88.57374392220422
LAYATI,490,2575,1196,1379,5.255102040816326,86.72951414068166
LUNGRA,767,3855,1631,2224,5.026075619295958,73.33633093525181
MALATIKOT,445,2630,1234,1396,5.910112359550562,88.39541547277938
MANGALSEN,2222,10458,5051,5407,4.706570657065707,93.41594229702238
MARKU,471,2156,936,1220,4.5774946921443735,76.72131147540983
MASHTANAMDALI,367,1932,909,1023,5.264305177111717,88.85630498533725
MASTAMANDAU,702,3441,1615,1826,4.901709401709402,88.4446878422782
NADA,501,2848,1405,1443,5.684630738522954,97.36659736659736
NANDEGADA,648,3780,1719,2061,5.833333333333333,83.4061135371179
NAWATHANA,372,2005,956,1049,5.389784946236559,91.13441372735939
OLIGAU,676,3328,1477,1851,4.923076923076923,79.79470556455969
PATALKOT,505,2825,1372,1453,5.594059405940594,94.42532690984171
PAYAL,1054,4994,2208,2786,4.738140417457306,79.25340990667624
PULLETALA,589,3148,1527,1621,5.3446519524618,94.20111042566317
RAHAPH,844,4557,2248,2309,5.399289099526066,97.35816370723256
RAMAROSAN,1031,5989,2942,3047,5.808923375363724,96.55398752871676
RANIBAN,514,2837,1324,1513,5.519455252918288,87.50826173165895
RIDIKOT,328,1539,667,872,4.692073170731708,76.4908256880734
RISIDAHA,830,4560,2217,2343,5.493975903614458,94.62227912932138
SANTADA,509,2800,1335,1465,5.50098231827112,91.12627986348123
SERA,521,2716,1221,1495,5.213051823416507,81.67224080267559
SIDDHESWOR,917,4168,1984,2184,4.54525627044711,90.84249084249085
SIUDI,964,5032,2286,2746,5.219917012448133,83.24836125273124
SOUKAT,1348,6655,2908,3747,4.936943620178042,77.60875366960235
SUTAR,598,3614,1730,1884,6.043478260869565,91.82590233545648
THANTI,471,2673,1277,1396,5.67515923566879,91.4756446991404
TIMILSAIN,412,2060,890,1170,5,76.06837606837607
TOLI,700,4000,1860,2140,5.714285714285714,86.91588785046729
TOSI,424,2282,1085,1197,5.382075471698113,90.64327485380117
TURMAKHAD,762,4057,1960,2097,5.324146981627297,93.46685741535526
WALANT,706,4078,1936,2142,5.776203966005665,90.3828197945845
WARLA,664,3735,1810,1925,5.625,94.02597402597402
