VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BABALA,527,1,1,0,0,0,10
BAIJINATH,265,16,0,1,0,0,4
BANNATOLI,590,1,1,0,0,0,8
BARADADIVI,814,7,8,0,0,1,3
BASTI,644,1,8,10,0,0,5
BATULASEN,697,1,0,0,0,0,7
BAYALA,718,9,3,0,18,0,11
BHAGYASWORI,237,5,0,0,0,0,1
BHAIRABSTHAN,794,2,14,0,1,0,9
BHATAKATIYA,813,3,0,0,0,0,12
BHULI,521,0,1,0,0,0,4
BINAYAK,997,11,1,1,1,0,22
BINDHYAWASINI,539,5,0,0,0,1,14
BIRPATH,525,4,1,0,0,1,1
BUDHAKOT,506,1,0,1,0,0,9
CHALSA,442,3,15,0,0,0,1
CHANDIKA(BAYALPATA),428,7,3,0,0,1,0
CHAPHAMANDAU,236,4,0,0,0,0,1
DARNA,788,8,4,0,0,0,1
DEVISTHAN,383,2,8,0,0,0,0
DHAKARI,714,1,2,1,0,0,7
DHAKU,324,8,21,0,0,0,3
DHAMALI,690,10,0,0,0,0,10
DHODASAIN,827,1,2,0,0,0,18
DHUDHARUKOT,613,5,0,0,0,2,1
DHUNGACHALNA,963,8,3,0,0,0,8
DUNI,498,1,8,0,0,0,2
GAJARA,340,5,6,0,0,2,1
HATIKOT,338,4,2,0,0,0,2
HICHMA,968,9,4,0,0,0,13
JALAPADEVI,498,22,2,0,0,0,20
JANALIBANDALI,646,0,1,0,0,0,1
JANALIKOT,358,7,1,0,0,0,2
JUPU,600,1,3,0,0,0,3
KALAGAU,581,6,0,0,0,0,2
KALEKANDA,557,2,3,0,0,0,0
KALIKA,598,0,2,0,0,0,5
KALIKASTHAN,637,10,1,0,0,0,3
KHAPTAD,284,0,1,0,0,0,4
KHODASADEVI,698,6,0,2,0,0,8
KUIKA,767,1,0,0,0,0,9
KUNTIBANDALI,585,0,3,3,0,0,3
KUSHKOT,781,1,0,0,0,0,10
LAYATI,474,5,2,0,0,0,9
LUNGRA,760,1,0,0,0,0,6
MALATIKOT,443,0,0,0,0,0,2
MANGALSEN,1876,272,40,5,0,19,10
MARKU,465,1,1,0,0,0,4
MASHTANAMDALI,364,0,0,0,0,0,3
MASTAMANDAU,591,98,3,1,0,0,9
NADA,499,0,0,1,0,1,0
NANDEGADA,637,0,2,1,0,0,8
NAWATHANA,363,7,1,0,0,0,1
OLIGAU,673,1,1,0,0,0,1
PATALKOT,498,1,0,0,0,0,6
PAYAL,1037,6,10,0,0,0,1
PULLETALA,581,3,1,0,0,0,4
RAHAPH,832,0,2,1,0,0,9
RAMAROSAN,1024,5,0,0,0,0,2
RANIBAN,479,28,0,1,2,1,3
RIDIKOT,315,8,0,0,0,0,5
RISIDAHA,818,3,8,0,0,0,1
SANTADA,476,6,1,0,1,2,23
SERA,508,3,4,0,0,0,6
SIDDHESWOR,762,51,48,1,0,53,2
SIUDI,948,5,3,0,0,0,8
SOUKAT,1345,0,0,0,1,0,2
SUTAR,592,1,1,0,0,2,2
THANTI,453,2,3,0,0,0,13
TIMILSAIN,406,2,2,0,0,0,2
TOLI,690,0,0,0,0,0,10
TOSI,417,4,1,0,0,0,2
TURMAKHAD,759,2,0,0,0,0,1
WALANT,683,2,3,9,0,0,9
WARLA,653,7,3,0,0,0,1
TOTAL,46750,723,273,39,24,86,423
