VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BABALA,520,9,2,8
BAIJINATH,275,4,3,4
BANNATOLI,592,2,0,6
BARADADIVI,787,40,3,3
BASTI,657,2,0,9
BATULASEN,702,1,0,2
BAYALA,737,21,0,1
BHAGYASWORI,233,5,0,5
BHAIRABSTHAN,816,3,0,1
BHATAKATIYA,823,3,0,2
BHULI,513,11,0,2
BINAYAK,996,25,5,7
BINDHYAWASINI,550,8,0,1
BIRPATH,512,10,2,8
BUDHAKOT,513,1,0,3
CHALSA,461,0,0,0
CHANDIKA(BAYALPATA),414,18,3,4
CHAPHAMANDAU,235,2,0,4
DARNA,796,0,0,5
DEVISTHAN,391,1,0,1
DHAKARI,722,3,0,0
DHAKU,353,3,0,0
DHAMALI,703,6,1,0
DHODASAIN,843,2,0,3
DHUDHARUKOT,528,16,1,76
DHUNGACHALNA,971,8,1,2
DUNI,489,13,0,7
GAJARA,344,5,0,5
HATIKOT,338,0,0,8
HICHMA,983,8,0,3
JALAPADEVI,522,6,4,10
JANALIBANDALI,622,24,0,2
JANALIKOT,360,1,1,6
JUPU,603,4,0,0
KALAGAU,580,5,1,3
KALEKANDA,552,6,0,4
KALIKA,597,1,2,5
KALIKASTHAN,644,4,0,3
KHAPTAD,283,2,1,3
KHODASADEVI,687,24,0,3
KUIKA,777,0,0,0
KUNTIBANDALI,582,9,0,3
KUSHKOT,790,1,0,1
LAYATI,489,1,0,0
LUNGRA,766,0,0,1
MALATIKOT,445,0,0,0
MANGALSEN,1736,368,111,7
MARKU,466,1,1,3
MASHTANAMDALI,364,1,0,2
MASTAMANDAU,617,80,3,2
NADA,497,4,0,0
NANDEGADA,640,8,0,0
NAWATHANA,370,2,0,0
OLIGAU,665,10,0,1
PATALKOT,503,0,1,1
PAYAL,1043,2,0,9
PULLETALA,585,0,0,4
RAHAPH,842,1,0,1
RAMAROSAN,1019,8,2,2
RANIBAN,511,3,0,0
RIDIKOT,316,0,1,11
RISIDAHA,823,6,0,1
SANTADA,492,14,1,2
SERA,519,0,0,2
SIDDHESWOR,785,126,2,4
SIUDI,942,7,3,12
SOUKAT,1342,3,0,3
SUTAR,588,10,0,0
THANTI,467,0,0,4
TIMILSAIN,389,16,0,7
TOLI,694,0,0,6
TOSI,419,3,2,0
TURMAKHAD,735,25,2,0
WALANT,691,3,4,8
WARLA,656,4,0,4
TOTAL,46812,1023,163,320
