VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ADGURI,829,0,0,37,63,1,1,4
ARGHA,1148,4,6,47,102,6,3,2
ARGHATOS,812,1,119,121,2,0,0,0
ASURKOT,463,0,0,11,1,25,0,1
BALKOT,365,2,494,46,108,8,1,2
BANGI,951,0,32,47,42,4,0,0
WANGLA,854,0,97,197,25,3,1,4
BHAGAWATI,663,0,49,139,102,6,2,1
CHHATRAGANJ,539,1,36,78,22,0,0,0
CHIDIKA,254,0,218,63,264,6,0,4
DHAKAWANG,1242,0,2,128,117,70,2,7
DHANCHAUR,598,0,0,8,240,6,1,3
DHARAPANI,1267,1,3,11,18,12,76,3
DHATIWANG,116,0,2,13,285,9,0,1
DHIKURA,812,0,2,28,164,0,1,2
DIBHARNA,1398,6,59,86,8,13,2,1
GOKHUNGA,572,0,6,34,151,0,0,0
HANSAPUR,1607,5,2,110,101,36,3,2
JUKENA,1053,1,35,272,61,12,1,0
JALUKE,579,68,52,290,132,109,2,10
KEEMDADA,622,0,0,22,185,7,0,2
KERUNGA,661,1,222,155,76,3,0,0
KHANA,976,0,15,12,80,8,0,3
KHANCHIKOT,715,0,17,47,11,6,0,1
KHANDAHA,703,0,2,42,134,17,2,0
KHIDIM,736,2,5,23,92,5,1,5
KHILJI,731,0,10,19,39,1,0,0
MAIDAN,793,1,77,61,14,3,0,6
MARENG,770,0,68,100,25,3,0,0
NARPANI,886,0,1,3,1,3,1,1
NUWAKOT,1495,3,4,27,68,4,1,0
PALI,648,3,0,117,188,6,0,4
PATAUTI,686,0,3,16,31,9,0,1
PANENA,423,1,0,17,113,2,0,1
POKHARATHOK,725,0,2,34,34,3,1,1
SANDHIKHARKA,2901,387,123,166,165,30,5,44
SIDDHARA,483,0,11,410,438,313,4,6
SIMALPANI,624,0,12,419,157,65,1,6
SITAPUR,790,2,1,6,38,36,2,2
SUBARNAKHAL,602,0,0,4,4,5,0,2
THADA,1540,1,14,398,95,20,0,13
THULAPOKHARA,710,0,6,67,88,31,0,7
TOTAL,35342,490,1807,3931,4084,906,114,152
