VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ADGURI,637,871,552,634,68,201,17,36
ARGHA,905,1094,733,806,157,265,15,23
ARGHATOS,672,871,594,657,74,210,4,4
ASURKOT,435,532,360,373,69,153,6,6
BALKOT,749,1008,659,726,85,275,5,7
BANGI,740,916,669,717,70,193,1,6
WANGLA,761,918,605,669,109,189,47,60
BHAGAWATI,610,734,536,587,71,146,3,1
CHHATRAGANJ,421,613,374,469,46,137,1,7
CHIDIKA,640,798,531,574,107,220,2,4
DHAKAWANG,1336,1651,1117,1197,206,423,13,31
DHANCHAUR,687,964,578,692,105,258,4,14
DHARAPANI,1064,1360,936,1002,121,349,7,9
DHATIWANG,309,360,286,296,21,59,2,5
DHIKURA,758,984,661,692,83,273,14,19
DIBHARNA,1117,1340,963,991,140,325,14,24
GOKHUNGA,695,869,624,659,58,194,13,16
HANSAPUR,1514,1891,1299,1315,193,547,22,29
JUKENA,1316,1550,1045,1081,253,440,18,29
JALUKE,1371,1616,1074,1079,255,502,42,35
KEEMDADA,495,645,405,425,79,200,11,20
KERUNGA,717,880,637,625,72,244,8,11
KHANA,765,1014,672,752,85,253,8,9
KHANCHIKOT,592,681,510,437,81,239,1,5
KHANDAHA,554,731,510,554,43,171,1,6
KHIDIM,590,728,511,531,78,193,1,4
KHILJI,576,712,492,507,79,203,5,2
MAIDAN,751,943,663,709,83,227,5,7
MARENG,592,818,513,615,74,201,5,2
NARPANI,634,791,510,589,117,190,7,12
NUWAKOT,1146,1474,998,1033,134,421,14,20
PALI,818,1071,667,768,146,294,5,9
PATAUTI,541,731,465,548,71,175,5,8
PANENA,402,527,350,396,50,129,2,2
POKHARATHOK,689,923,554,657,129,255,6,11
SANDHIKHARKA,2637,2649,2031,1901,540,669,66,79
SIDDHARA,1939,2215,1431,1425,464,735,44,55
SIMALPANI,1338,1527,1010,1050,303,462,25,15
SITAPUR,720,934,587,621,117,281,16,32
SUBARNAKHAL,561,718,402,441,104,193,55,84
THADA,1764,2129,1373,1420,300,585,91,124
THULAPOKHARA,665,776,561,581,95,192,9,3
INSTITUTIONAL,177,16,18,11,159,5,0,0
