VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AMCHAUR,4605,2014,2591,100,53,47,46,24,22,21,9,12,0,0,0,10,5,5,7,4,3,4,2,2,9,6,3
BASANTAPUR,2456,1061,1395,37,18,19,17,8,9,25,12,13,2,1,1,6,5,1,3,2,1,1,0,1,10,7,3
BASULING,3165,1469,1696,84,32,52,21,8,13,38,16,22,0,0,0,5,5,0,4,3,1,3,0,3,5,3,2
BHATANA,3931,1931,2000,35,17,18,16,10,6,19,12,7,3,3,0,4,3,1,1,1,0,0,0,0,8,7,1
BHUMESWOR,3399,1576,1823,15,8,7,13,9,4,17,6,11,3,1,2,8,2,6,3,2,1,1,1,0,3,2,1
BIJAYAPUR,3851,1788,2063,53,24,29,29,13,16,65,40,25,2,2,0,20,18,2,8,5,3,4,3,1,3,3,0
BISALPUR,3915,1875,2040,120,62,58,52,22,30,49,24,25,10,5,5,1,1,0,8,4,4,2,2,0,17,12,5
BUMIRAJ,4509,2144,2365,40,24,16,25,10,15,14,7,7,3,2,1,10,8,2,5,2,3,7,3,4,1,1,0
CHAUKHAM,2594,1250,1344,99,45,54,25,13,12,10,5,5,4,2,2,15,10,5,4,3,1,3,1,2,10,1,9
DASHARATHCHANDA MUNICIPALITY,16287,7394,8893,202,120,82,72,33,39,99,57,42,8,4,4,40,30,10,32,14,18,14,10,4,37,20,17
DEHIMANDAU,4254,1974,2280,49,34,15,15,10,5,12,5,7,1,0,1,9,4,5,13,8,5,4,4,0,5,1,4
DEULEK,2334,1002,1332,58,28,30,19,12,7,14,7,7,1,1,0,6,5,1,2,0,2,1,0,1,2,0,2
DHIKARIM/RIM,4014,1913,2101,48,24,24,20,9,11,29,17,12,0,0,0,12,7,5,3,2,1,1,0,1,5,3,2
DHIKASINTAD/SITAD,4505,2076,2429,69,37,32,31,16,15,19,5,14,0,0,0,10,8,2,3,1,2,5,3,2,13,8,5
DHUNGAD,2213,1007,1206,77,41,36,15,5,10,11,4,7,0,0,0,1,0,1,8,6,2,0,0,0,0,0,0
