VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AMCHAUR,4176,1805,2371,2052,1189,863,101,48,53,2020,567,1453,3,1,2,49.137931034482754,65.87257617728531,36.39814424293547
BASANTAPUR,2228,951,1277,1559,840,719,76,38,38,592,72,520,1,1,0,69.97307001795332,88.32807570977917,56.303837118245895
BASULING,2927,1337,1590,1956,1110,846,100,32,68,869,195,674,2,0,2,66.8261018107277,83.02169035153328,53.20754716981132
BHATANA,3426,1677,1749,1869,1178,691,80,41,39,1477,458,1019,0,0,0,54.55341506129597,70.24448419797257,39.508290451686676
BHUMESWOR,3020,1385,1635,2173,1219,954,93,35,58,754,131,623,0,0,0,71.95364238410596,88.014440433213,58.34862385321101
BIJAYAPUR,3548,1645,1903,1933,1204,729,141,54,87,1474,387,1087,0,0,0,54.48139797068771,73.19148936170212,38.30793483972675
BISALPUR,3627,1723,1904,2096,1279,817,170,74,96,1357,367,990,4,3,1,57.78880617590295,74.23099245502031,42.909663865546214
BUMIRAJ,3943,1864,2079,1964,1248,716,140,68,72,1838,547,1291,1,1,0,49.80978950038042,66.95278969957081,34.43963443963444
CHAUKHAM,2374,1117,1257,1415,813,602,43,20,23,916,284,632,0,0,0,59.604043807919126,72.78424350940018,47.89180588703262
DASHARATHCHANDA MUNICIPALITY,15124,6768,8356,11279,6074,5205,283,121,162,3546,569,2977,16,4,12,74.57683152605131,89.74586288416076,62.290569650550495
DEHIMANDAU,3813,1758,2055,2724,1528,1196,82,39,43,1005,190,815,2,1,1,71.43981117230527,86.91695108077361,58.19951338199514
DEULEK,2126,904,1222,1381,730,651,59,32,27,686,142,544,0,0,0,64.95766698024458,80.75221238938053,53.273322422258595
DHIKARIM/RIM,3546,1681,1865,2006,1205,801,188,104,84,1351,371,980,1,1,0,56.5707839819515,71.68352171326592,42.94906166219839
DHIKASINTAD/SITAD,4014,1818,2196,2680,1477,1203,65,28,37,1269,313,956,0,0,0,66.76631788739412,81.24312431243125,54.78142076502732
DHUNGAD,1992,895,1097,1208,718,490,12,3,9,772,174,598,0,0,0,60.6425702811245,80.22346368715084,44.667274384685506
DILASAINI,5012,2432,2580,3199,1896,1303,75,37,38,1738,499,1239,0,0,0,63.8268156424581,77.96052631578947,50.503875968992254
DURGA BHABANI,2048,857,1191,1433,734,699,28,12,16,586,110,476,1,1,0,69.970703125,85.64760793465578,58.69017632241813
DURGASTHAN,3504,1527,1977,2254,1257,997,120,46,74,1129,224,905,1,0,1,64.32648401826484,82.31827111984283,50.42994436014163
GAJARI,3831,1873,1958,2406,1458,948,34,17,17,1391,398,993,0,0,0,62.80344557556774,77.84303256807262,48.4167517875383
GIREGADA,2699,1188,1511,1507,900,607,165,72,93,1005,209,796,22,7,15,55.83549462763987,75.75757575757575,40.172071475843815
GOKULESWOR,3573,1514,2059,2451,1256,1195,43,12,31,1077,245,832,2,1,1,68.59781696053736,82.95904887714663,58.037882467217095
GUJAR,2423,1036,1387,1682,880,802,171,66,105,570,90,480,0,0,0,69.41807676434173,84.94208494208493,57.8226387887527
GURUKHOLA,3948,1811,2137,2768,1558,1210,155,73,82,1024,179,845,1,1,0,70.11144883485308,86.02981778023192,56.62143191389799
GWALLEK,3358,1459,1899,2275,1218,1057,179,76,103,903,165,738,1,0,1,67.74865991661704,83.48183687457163,55.66087414428647
HAT,1990,969,1021,1135,709,426,43,21,22,812,239,573,0,0,0,57.03517587939698,73.16821465428276,41.72380019588638
HATAIRAJ,920,401,519,600,322,278,59,24,35,261,55,206,0,0,0,65.21739130434783,80.29925187032418,53.5645472061657
KAILPAL,2708,1208,1500,1890,1029,861,21,10,11,797,169,628,0,0,0,69.79320531757755,85.18211920529801,57.4
KATAUJPANI,3744,1742,2002,2269,1350,919,157,76,81,1317,316,1001,1,0,1,60.60363247863248,77.49712973593572,45.904095904095904
KOTILA,3135,1473,1662,1930,1169,761,29,11,18,1174,293,881,2,0,2,61.56299840510366,79.36184657162254,45.788206979542714
KOTPETARA,5616,2781,2835,3185,2032,1153,220,102,118,2205,645,1560,6,2,4,56.71296296296296,73.06724199928082,40.670194003527335
KULAU,2618,1220,1398,1769,1003,766,16,6,10,833,211,622,0,0,0,67.57066462948816,82.21311475409836,54.7925608011445
KUWAKOT,4693,2320,2373,2304,1439,865,65,36,29,2321,843,1478,3,2,1,49.094395908800344,62.02586206896552,36.45174884112937
MAHADEVSTHAN,3203,1597,1606,2104,1262,842,84,39,45,1012,295,717,3,1,2,65.68841710896035,79.02316844082655,52.42839352428393
MAHAKALI,3011,1390,1621,1546,984,562,45,18,27,1418,388,1030,2,0,2,51.34506808369312,70.79136690647482,34.66995681677977
