VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BANJH,808,1,4,0,0,0,0,5
BHAIRABANATH,852,4,4,0,0,0,4,4
BHAMCHAUR,746,0,0,0,0,0,0,2
BHATEKHOLA,576,0,0,0,1,0,0,2
BYASI,710,2,0,0,0,0,0,6
CHAINPUR,1101,10,74,0,3,0,3,13
CHAUDHARI,697,1,0,0,1,0,0,8
DAHABAGAR,1014,0,1,0,0,0,0,20
DANGAJI,708,5,0,1,1,0,0,17
DATOLA,530,0,0,0,0,0,0,17
DAULICHAUR,836,0,0,0,0,0,0,3
DEULEKH,694,2,3,0,1,0,0,3
DEULIKOT,1181,3,0,2,1,0,1,7
DHAMENA,456,0,0,0,0,0,0,7
GADARAYA,556,0,0,0,0,0,0,4
HEMANTABADA,545,1,0,0,0,0,0,3
KADEL,822,0,0,0,0,0,0,7
KAILASH,337,0,0,0,0,0,0,2
KALUKHETI,500,4,0,0,0,0,0,3
KANDA,355,0,0,1,4,0,0,3
KAPHALASERI,1029,3,2,1,7,0,1,8
KHIRATADI,1388,0,0,0,9,0,0,15
KOIRALAKOT,592,0,0,0,1,0,0,22
KOT BHAIRAB,646,0,0,0,6,0,0,16
KOTDEWAL,553,0,0,0,0,0,0,5
LAMATOLA,368,0,0,0,0,1,0,1
LEKGAU,949,0,0,0,0,0,0,6
LUYANTA,522,0,1,0,0,0,0,2
MAJHIGAU,786,0,1,0,0,0,0,1
MALUMELA,408,0,0,0,0,0,0,2
MASTA,498,0,0,0,0,0,0,2
MATELA,448,0,0,0,0,0,0,3
MAULALI,610,8,0,0,0,0,0,5
MELBISAUNI,616,1,0,0,0,0,0,2
PARAKATNE,772,4,0,0,5,0,0,5
PATADEWAL,511,0,0,0,0,0,0,3
PAUWAGADHI,366,0,0,0,0,0,0,0
PIPALKOT,751,2,1,0,0,0,0,33
RAYAL,1144,0,0,0,5,0,1,2
RILU,815,0,0,0,0,0,0,4
RITHAPATA,553,0,26,0,2,0,0,5
SAINPASELA,1097,1,0,0,0,0,0,19
SUBEDA,802,0,0,0,0,0,0,10
SUNIKOT,369,0,1,0,0,0,0,1
SUNKUDA,1250,1,3,0,3,0,0,2
SURMA,576,2,0,0,0,0,0,1
SYANDI,766,2,0,0,0,0,0,9
TOTAL,33209,57,121,5,50,1,10,320
