VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BANJH,386,0,105,93,84,146,0,4
BHAIRABANATH,508,0,0,137,124,94,1,4
BHAMCHAUR,529,0,0,50,118,49,0,2
BHATEKHOLA,438,0,3,15,106,15,0,2
BYASI,434,0,0,34,188,57,0,5
CHAINPUR,892,0,0,3,288,8,0,13
CHAUDHARI,489,0,47,0,106,0,57,8
DAHABAGAR,935,0,1,4,11,58,6,20
DANGAJI,572,0,0,0,142,2,0,16
DATOLA,455,0,0,3,70,3,0,16
DAULICHAUR,523,0,22,59,106,126,0,3
DEULEKH,343,0,64,86,177,23,7,3
DEULIKOT,776,1,14,228,132,22,15,7
DHAMENA,440,0,0,3,2,10,2,6
GADARAYA,430,0,4,36,74,12,0,4
HEMANTABADA,410,0,1,70,41,24,0,3
KADEL,638,0,2,25,140,13,4,7
KAILASH,142,0,14,138,43,0,0,2
KALUKHETI,386,0,8,3,27,80,0,3
KANDA,182,0,0,1,173,1,3,3
KAPHALASERI,560,0,4,13,306,152,8,8
KHIRATADI,515,0,113,37,516,172,44,15
KOIRALAKOT,482,0,3,59,28,22,0,21
KOT BHAIRAB,574,0,11,55,11,0,1,16
KOTDEWAL,383,0,8,45,41,76,0,5
LAMATOLA,351,0,2,1,11,5,0,0
LEKGAU,722,0,3,111,82,27,4,6
LUYANTA,464,0,1,43,7,8,0,2
MAJHIGAU,549,0,29,7,191,11,0,1
MALUMELA,338,0,0,0,33,37,0,2
MASTA,450,0,0,4,43,1,0,2
MATELA,423,0,3,1,1,20,0,3
MAULALI,261,0,14,53,289,1,0,5
MELBISAUNI,518,0,0,6,92,1,0,2
PARAKATNE,673,0,0,6,100,2,0,5
PATADEWAL,482,0,1,21,3,4,0,3
PAUWAGADHI,313,0,16,0,36,1,0,0
PIPALKOT,394,0,20,55,179,82,24,33
RAYAL,504,0,69,151,324,97,5,2
RILU,712,0,11,24,66,2,0,4
RITHAPATA,441,0,0,18,100,20,2,5
SAINPASELA,476,0,0,105,398,116,3,19
SUBEDA,635,0,3,38,108,18,0,10
SUNIKOT,312,0,7,6,23,22,0,1
SUNKUDA,548,0,19,131,333,226,0,2
SURMA,390,0,5,39,104,39,1,1
SYANDI,280,0,1,130,265,90,2,9
TOTAL,22658,1,628,2147,5842,1995,189,313
