VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BANJH,794,11,5,8
BHAIRABANATH,847,10,4,7
BHAMCHAUR,738,7,0,3
BHATEKHOLA,575,0,2,2
BYASI,714,3,0,1
CHAINPUR,960,212,23,9
CHAUDHARI,673,28,0,6
DAHABAGAR,1027,4,0,4
DANGAJI,720,6,5,1
DATOLA,531,2,0,14
DAULICHAUR,833,2,0,4
DEULEKH,686,11,5,1
DEULIKOT,1179,4,0,12
DHAMENA,462,0,0,1
GADARAYA,558,1,1,0
HEMANTABADA,544,2,0,3
KADEL,817,2,0,10
KAILASH,336,0,0,3
KALUKHETI,503,0,0,4
KANDA,350,6,5,2
KAPHALASERI,1041,0,6,4
KHIRATADI,1399,9,1,3
KOIRALAKOT,607,0,0,8
KOT BHAIRAB,659,7,0,2
KOTDEWAL,551,4,0,3
LAMATOLA,360,5,3,2
LEKGAU,948,1,1,5
LUYANTA,519,2,1,3
MAJHIGAU,778,2,2,6
MALUMELA,406,4,0,0
MASTA,492,3,2,3
MATELA,434,8,5,4
MAULALI,617,4,0,2
MELBISAUNI,609,9,1,0
PARAKATNE,775,1,1,9
PATADEWAL,509,3,0,2
PAUWAGADHI,365,0,0,1
PIPALKOT,783,2,0,2
RAYAL,1105,43,2,2
RILU,817,1,1,0
RITHAPATA,502,48,22,14
SAINPASELA,1098,5,2,12
SUBEDA,760,49,0,3
SUNIKOT,353,12,0,6
SUNKUDA,1226,21,9,3
SURMA,574,0,0,5
SYANDI,770,6,1,0
TOTAL,32904,560,110,199
