VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BANJH,1071,1227,845,823,212,380,14,24
BHAIRABANATH,1087,1248,867,812,208,417,12,19
BHAMCHAUR,1140,1262,903,759,212,480,25,23
BHATEKHOLA,812,888,686,585,119,293,7,10
BYASI,907,995,684,589,216,404,7,2
CHAINPUR,1422,1442,1066,919,291,459,65,64
CHAUDHARI,713,793,595,590,102,186,16,17
DAHABAGAR,1391,1535,1015,815,368,704,8,16
DANGAJI,994,1031,790,597,194,424,10,10
DATOLA,714,753,532,442,175,293,7,18
DAULICHAUR,1303,1374,940,548,342,811,21,15
DEULEKH,1022,1075,706,584,275,398,41,93
DEULIKOT,1762,1823,1179,958,464,709,119,156
DHAMENA,677,672,494,343,183,328,0,1
GADARAYA,654,765,519,493,106,242,29,30
HEMANTABADA,688,805,598,596,84,203,6,6
KADEL,1020,1141,833,775,175,332,12,34
KAILASH,440,499,339,348,81,135,20,16
KALUKHETI,550,612,436,410,107,198,7,4
KANDA,568,533,289,152,275,377,4,4
KAPHALASERI,1502,1608,983,861,404,579,115,168
KHIRATADI,1799,1947,1475,1227,312,709,12,11
KOIRALAKOT,723,878,597,610,111,247,15,21
KOT BHAIRAB,738,832,615,621,120,202,3,9
KOTDEWAL,746,864,590,567,142,280,14,17
LAMATOLA,349,433,296,305,42,91,11,37
LEKGAU,1089,1226,767,655,246,428,76,143
LUYANTA,630,748,495,526,130,213,5,9
MAJHIGAU,865,1028,734,634,125,375,6,19
MALUMELA,528,575,419,372,99,183,10,20
MASTA,630,677,533,422,79,227,18,28
MATELA,527,617,435,452,73,128,19,37
MAULALI,762,881,599,577,154,292,9,12
MELBISAUNI,746,841,624,587,110,237,12,17
PARAKATNE,952,1067,805,724,133,327,14,16
PATADEWAL,550,654,483,431,65,220,2,3
PAUWAGADHI,368,480,306,340,57,131,5,9
PIPALKOT,1118,1137,808,684,293,427,17,26
RAYAL,1424,1602,1001,854,319,640,104,108
RILU,1197,1305,798,665,396,639,3,1
RITHAPATA,605,597,466,416,129,172,10,9
SAINPASELA,1342,1676,961,908,290,567,91,201
SUBEDA,986,1081,830,821,152,258,4,2
SUNIKOT,442,557,357,357,75,193,10,7
SUNKUDA,1488,1787,1198,1159,284,612,6,16
SURMA,853,896,485,274,359,616,9,6
SYANDI,1273,1331,961,784,283,446,29,101
INSTITUTIONAL,65,6,0,0,65,6,0,0
