VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ATICHAUR,347,185,162,997,557,440,396,264,132,174,116,58,123,96,27,57,42,15,15,15,0,1,1,0,2,1,1,29,9,20,1,0,1
BADDHU,130,64,66,1441,782,659,526,341,185,253,160,93,102,77,25,106,77,29,17,16,1,3,3,0,3,1,2,23,9,14,36,14,22
BAI,133,70,63,1016,524,492,320,227,93,218,149,69,33,25,8,65,45,20,10,9,1,6,5,1,2,2,0,17,6,11,1,1,0
BARHABIS,442,231,211,2174,1168,1006,693,454,239,355,252,103,248,182,66,126,89,37,35,29,6,5,5,0,8,4,4,161,92,69,4,4,0
BICHHAIYA,252,116,136,639,407,232,157,102,55,61,44,17,33,30,3,15,14,1,6,6,0,0,0,0,7,7,0,34,21,13,2,1,1
BRAMHATOLA,155,88,67,1763,858,905,666,425,241,356,224,132,163,111,52,134,90,44,25,20,5,4,4,0,3,2,1,186,88,98,34,12,22
BUDHIGANGA,145,71,74,1275,699,576,383,259,124,138,107,31,90,63,27,55,38,17,15,15,0,2,2,0,1,1,0,2,0,2,4,2,2
CHHATARA,157,65,92,933,486,447,424,243,181,194,130,64,112,87,25,64,45,19,16,15,1,2,2,0,2,1,1,45,13,32,3,2,1
DAHAKOT,213,98,115,1305,709,596,463,302,161,223,144,79,75,67,8,28,25,3,13,12,1,5,5,0,3,1,2,7,3,4,0,0,0
DOGADI,145,82,63,894,482,412,255,185,70,143,117,26,106,88,18,27,21,6,5,5,0,3,3,0,2,2,0,13,8,5,0,0,0
GOTREE,286,166,120,1646,843,803,486,358,128,200,153,47,112,87,25,70,54,16,14,14,0,0,0,0,6,5,1,127,44,83,16,8,8
GUDUKHATI,105,51,54,1275,683,592,355,259,96,138,94,44,131,104,27,43,37,6,15,14,1,0,0,0,6,3,3,44,8,36,38,13,25
JAGANNATH,154,82,72,997,525,472,341,234,107,141,107,34,74,57,17,52,34,18,11,9,2,0,0,0,0,0,0,52,23,29,2,1,1
JAYABAGESWORI,109,62,47,573,278,295,249,171,78,154,118,36,47,35,12,39,29,10,10,9,1,1,0,1,4,2,2,5,1,4,2,1,1
JUGADA,184,110,74,1511,813,698,679,401,278,302,194,108,169,115,54,91,62,29,21,20,1,4,4,0,1,1,0,13,9,4,8,4,4
JUKOT,183,84,99,781,438,343,262,180,82,151,113,38,123,101,22,59,41,18,6,6,0,3,3,0,2,2,0,7,3,4,15,6,9
KAILASHMANDAU,211,112,99,2592,1327,1265,1008,598,410,381,246,135,417,297,120,120,90,30,33,31,2,5,4,1,4,2,2,146,46,100,22,8,14
KANDA,10,4,6,781,476,305,227,177,50,74,55,19,49,36,13,31,22,9,7,6,1,5,4,1,9,6,3,32,10,22,1,0,1
KOLTI,286,164,122,1936,1079,857,687,442,245,275,188,87,151,106,45,180,108,72,51,45,6,14,12,2,0,0,0,32,19,13,8,6,2
KOTILA,128,60,68,859,495,364,333,196,137,139,105,34,81,62,19,56,43,13,3,2,1,1,1,0,0,0,0,41,16,25,6,3,3
KULDEUMADAU,412,216,196,1847,982,865,651,387,264,377,232,145,236,148,88,207,133,74,45,40,5,19,19,0,0,0,0,101,41,60,17,8,9
MANAKOT,263,118,145,758,383,375,196,136,60,108,84,24,31,22,9,33,30,3,15,13,2,2,2,0,3,2,1,1,0,1,0,0,0
MARTADI,650,375,275,2218,1305,913,963,618,345,476,332,144,495,353,142,383,269,114,115,99,16,78,72,6,6,5,1,45,31,14,3,3,0
PANDUSAIN,461,244,217,1808,999,809,531,339,192,146,105,41,116,88,28,57,41,16,13,12,1,6,5,1,4,4,0,107,49,58,6,5,1
RUGIN,195,101,94,693,430,263,211,142,69,88,73,15,75,55,20,39,29,10,13,11,2,0,0,0,0,0,0,71,36,35,5,3,2
SAPPATA,417,174,243,1411,718,693,540,388,152,177,160,17,90,79,11,60,51,9,12,12,0,1,1,0,8,3,5,61,27,34,17,6,11
TOLIDEWAL,210,120,90,1346,661,685,522,334,188,215,157,58,117,88,29,72,58,14,10,9,1,0,0,0,3,2,1,49,16,33,20,18,2
INSTITUTIONAL,30,23,7,123,113,10,228,227,1,121,121,0,148,147,1,64,59,5,17,16,1,2,2,0,2,2,0,0,0,0,1,1,0
