VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ATICHAUR,269,237,237,8
BADDHU,855,16,94,15
BAI,532,32,49,15
BARHABIS,1358,147,130,15
BICHHAIYA,315,116,69,7
BRAMHATOLA,940,111,254,17
BUDHIGANGA,634,14,159,1
CHHATARA,36,647,10,7
DAHAKOT,311,28,462,5
DOGADI,512,37,37,2
GOTREE,796,105,116,2
GUDUKHATI,222,236,383,11
JAGANNATH,522,13,165,2
JAYABAGESWORI,254,153,22,8
JUGADA,548,237,189,8
JUKOT,424,7,165,1
KAILASHMANDAU,1091,36,686,5
KANDA,461,49,24,12
KOLTI,669,158,492,11
KOTILA,508,10,93,3
KULDEUMADAU,872,145,273,15
MANAKOT,273,10,207,0
MARTADI,902,523,485,10
PANDUSAIN,530,50,603,1
RUGIN,380,2,131,9
SAPPATA,659,245,87,7
TOLIDEWAL,439,11,382,0
TOTAL,15312,3375,6004,197
