VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BAGESWARI,709,1998,69,2,1,0,55,6
BANKATAWA,33,3662,8,1,3,0,167,9
BANKATTI,6,959,2,5,1,0,0,4
BASUDEVPUR,365,852,1,5,0,0,119,7
BAIJAPUR,254,1607,3,8,1,27,2,4
BELAHARI,163,714,1,19,0,0,0,12
BELBHAR,7,899,1,10,1,0,22,4
BETAHANI,287,1136,8,18,0,1,0,6
BHABANIYAPUR,10,717,1,2,0,0,8,0
BINAUNA,250,940,4,5,1,2,0,2
CHISAPANI,37,1242,13,7,16,2,5,2
GANAPUR,13,870,5,130,1,0,7,4
GANGAPUR,8,1149,2,0,0,0,6,10
HIRMINIYA,770,642,4,16,0,0,6,4
HOLIYA,17,1070,1,7,1,0,19,0
INDRAPUR,29,1471,46,77,4,0,34,16
JAISPUR,348,596,1,5,2,0,7,5
KALAPHANTA,174,470,1,61,0,0,1,2
KAMDI,268,1502,32,6,1,1,24,7
KACHANAPUR,215,1389,22,68,0,0,2,7
KATKUIYA,5,802,6,64,0,0,49,8
KHAJURAKHURDA,288,809,9,20,1,1,0,17
KHASKARKANDO,215,1635,41,18,1,0,20,26
KHASKUSMA,214,260,251,413,6,35,4,4
KOHALPUR,1580,6339,33,6,29,4,151,31
LAXMANPUR,210,601,4,6,3,0,6,1
MAHADEVPURI,115,1745,7,2,2,0,21,11
MANIKAPUR,72,2341,68,34,2,2,75,3
MATEHIYA,14,1237,10,6,0,1,120,12
NARAINAPUR,3,805,15,29,1,1,0,5
NAUBASTA,373,3486,13,1,4,1,146,9
NEPALGUNJ MUNICIPALITY,4396,10356,114,12,7,1,165,129
PARASPUR,208,871,2,66,0,0,0,15
PHATTEPUR,8,2809,8,2,0,1,6,5
PIPRAHAWA,94,862,8,13,0,0,20,18
PURAINA,215,868,0,8,0,0,10,21
PURAINI,438,445,1,4,0,0,1,0
RADHAPUR,44,703,2,1,1,2,3,0
RAJHENA,327,5074,20,13,85,1,129,13
RANIYAPUR,2,1077,0,1,0,0,38,10
SAIGAUN,338,658,2,12,0,0,1,8
SAMSERGANJ,264,1263,3,59,24,0,26,9
SITAPUR,6,1978,1,0,2,0,9,7
SONPUR,30,1350,5,15,0,0,0,12
TITIHIRIYA,272,1468,8,0,0,1,73,4
UDHARAPUR,132,1860,2,12,126,2,0,15
UDAYAPUR,11,660,0,1,0,0,6,1
TOTAL,13837,76247,858,1270,327,86,1563,505
