VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BAGESWARI,1073,858,102,22,48,727,10
BANKATAWA,1056,656,118,34,848,1128,43
BANKATTI,406,191,40,5,38,291,6
BASUDEVPUR,497,432,93,16,21,270,20
BAIJAPUR,397,49,773,537,146,0,4
BELAHARI,471,160,9,12,43,188,26
BELBHAR,477,197,8,10,145,102,5
BETAHANI,391,172,157,386,27,316,7
BHABANIYAPUR,241,124,8,2,17,346,0
BINAUNA,442,35,33,304,383,3,4
CHISAPANI,282,505,67,30,373,64,3
GANAPUR,467,108,359,32,9,51,4
GANGAPUR,192,162,505,152,130,25,9
HIRMINIYA,796,154,106,89,168,119,10
HOLIYA,158,93,114,530,8,211,1
INDRAPUR,780,519,8,22,42,166,140
JAISPUR,497,184,38,11,62,166,6
KALAPHANTA,139,133,213,198,1,24,1
KAMDI,554,162,7,100,100,904,14
KACHANAPUR,530,142,703,66,212,42,8
KATKUIYA,222,228,123,233,9,110,9
KHAJURAKHURDA,629,179,3,11,16,292,15
KHASKARKANDO,366,1365,32,49,38,69,37
KHASKUSMA,168,112,850,6,45,1,5
KOHALPUR,2165,3754,345,384,570,881,74
LAXMANPUR,342,145,14,321,1,7,1
MAHADEVPURI,669,352,387,89,340,49,17
MANIKAPUR,817,1021,46,70,42,595,6
MATEHIYA,409,304,257,367,15,31,17
NARAINAPUR,190,92,75,491,0,0,11
NAUBASTA,896,542,47,68,1372,1094,14
NEPALGUNJ MUNICIPALITY,3899,10404,148,202,97,106,324
PARASPUR,275,466,4,43,53,306,15
PHATTEPUR,671,286,42,1179,293,358,10
PIPRAHAWA,469,284,39,5,22,176,20
PURAINA,465,240,77,34,214,69,23
PURAINI,289,245,7,22,92,229,5
RADHAPUR,195,338,21,9,57,134,2
RAJHENA,1885,2526,62,28,326,796,39
RANIYAPUR,175,198,44,6,52,644,9
SAIGAUN,353,84,18,2,9,433,120
SAMSERGANJ,730,338,32,108,128,297,15
SITAPUR,1123,211,12,14,79,560,4
SONPUR,522,160,17,16,11,670,16
TITIHIRIYA,423,154,15,32,562,628,12
UDHARAPUR,594,193,14,46,345,930,27
UDAYAPUR,347,135,24,15,47,106,5
TOTAL,29134,29392,6216,6408,7656,14714,1173
