VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BAGESWARI,12462,5530,6932,82,45,37,27,16,11,33,16,17,2,0,2,15,6,9,18,9,9,7,3,4,25,16,9
BANKATAWA,18425,8564,9861,114,69,45,63,30,33,82,47,35,6,4,2,44,32,12,25,12,13,16,6,10,17,8,9
BANKATTI,6083,3123,2960,39,20,19,14,7,7,22,15,7,0,0,0,18,9,9,12,7,5,9,4,5,5,2,3
BASUDEVPUR,6768,3323,3445,21,15,6,7,4,3,11,6,5,0,0,0,4,3,1,12,6,6,5,1,4,2,1,1
BAIJAPUR,12093,5684,6409,44,29,15,42,20,22,31,13,18,0,0,0,13,4,9,3,2,1,3,1,2,1,0,1
BELAHARI,5234,2682,2552,27,15,12,10,8,2,3,1,2,1,1,0,4,1,3,7,4,3,1,0,1,2,0,2
BELBHAR,5253,2692,2561,15,11,4,14,9,5,5,4,1,0,0,0,7,5,2,10,5,5,5,3,2,9,7,2
BETAHANI,7964,4212,3752,35,21,14,67,36,31,30,16,14,0,0,0,12,6,6,11,8,3,3,2,1,19,9,10
BHABANIYAPUR,4261,2231,2030,25,21,4,11,9,2,8,5,3,1,0,1,3,2,1,10,6,4,2,1,1,5,2,3
BINAUNA,7224,3453,3771,38,22,16,23,14,9,14,8,6,0,0,0,11,5,6,6,2,4,6,5,1,10,5,5
CHISAPANI,6547,3042,3505,109,55,54,20,9,11,65,36,29,2,1,1,13,8,5,12,6,6,7,4,3,14,7,7
GANAPUR,5759,2971,2788,16,9,7,2,1,1,4,3,1,0,0,0,7,4,3,4,3,1,8,6,2,5,2,3
GANGAPUR,6018,3042,2976,67,47,20,21,10,11,20,9,11,3,1,2,18,10,8,11,4,7,1,1,0,11,6,5
HIRMINIYA,8398,4377,4021,20,12,8,12,4,8,9,4,5,1,0,1,3,0,3,3,2,1,10,10,0,7,4,3
HOLIYA,6200,3259,2941,27,19,8,31,15,16,15,10,5,2,2,0,4,2,2,6,4,2,2,1,1,3,3,0
INDRAPUR,8810,4554,4256,53,40,13,29,14,15,21,15,6,2,1,1,13,3,10,11,8,3,12,8,4,11,8,3
JAISPUR,6509,3325,3184,18,11,7,6,1,5,3,2,1,2,1,1,6,4,2,13,7,6,5,4,1,5,4,1
KALAPHANTA,4613,2362,2251,23,14,9,16,9,7,13,6,7,3,3,0,8,7,1,5,4,1,6,3,3,2,2,0
KAMDI,9767,4737,5030,22,18,4,15,9,6,13,7,6,3,2,1,15,7,8,5,3,2,8,3,5,5,2,3
KACHANAPUR,8729,4161,4568,48,30,18,26,21,5,24,15,9,6,1,5,12,5,7,1,1,0,5,4,1,7,2,5
KATKUIYA,5570,2796,2774,16,16,0,17,7,10,10,4,6,2,1,1,7,4,3,1,0,1,2,2,0,3,2,1
KHAJURAKHURDA,5909,2935,2974,54,35,19,23,13,10,15,4,11,5,4,1,7,3,4,7,4,3,8,5,3,6,4,2
KHASKARKANDO,8824,4489,4335,40,28,12,14,4,10,7,4,3,0,0,0,10,6,4,6,3,3,3,2,1,6,4,2
