VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BAGESWARI,304,367,1119,1027,3,0,7,13
BANKATAWA,279,566,2183,810,12,0,14,19
BANKATTI,215,68,394,292,1,0,1,6
BASUDEVPUR,168,230,306,621,9,0,0,15
BAIJAPUR,610,133,1106,36,15,0,0,6
BELAHARI,444,70,106,250,4,0,7,28
BELBHAR,233,92,315,291,4,0,4,5
BETAHANI,781,129,242,257,23,0,0,24
BHABANIYAPUR,137,58,319,223,0,0,1,0
BINAUNA,214,30,891,49,5,0,11,4
CHISAPANI,171,77,630,437,6,0,0,3
GANAPUR,244,63,414,295,10,0,0,4
GANGAPUR,875,4,63,215,8,0,0,10
HIRMINIYA,703,90,438,191,10,0,1,9
HOLIYA,752,106,106,128,18,0,3,2
INDRAPUR,345,158,281,864,10,0,4,15
JAISPUR,73,70,357,452,3,0,2,7
KALAPHANTA,463,14,33,197,0,0,0,2
KAMDI,309,134,1056,316,8,0,4,14
KACHANAPUR,848,130,652,51,8,0,6,8
KATKUIYA,526,5,10,373,12,0,0,8
KHAJURAKHURDA,202,83,429,411,3,0,1,16
KHASKARKANDO,115,147,163,1471,4,0,12,44
KHASKUSMA,957,126,47,45,6,0,0,6
KOHALPUR,631,795,2975,3598,33,0,62,79
LAXMANPUR,407,0,3,418,1,0,1,1
MAHADEVPURI,569,227,887,190,12,0,3,15
MANIKAPUR,456,292,574,1258,4,0,7,6
MATEHIYA,678,15,153,525,13,0,2,14
NARAINAPUR,580,15,50,184,18,0,0,12
NAUBASTA,316,250,2949,483,5,0,15,15
NEPALGUNJ MUNICIPALITY,355,1050,987,12207,181,0,44,356
PARASPUR,139,72,392,530,0,0,8,21
PHATTEPUR,1038,109,1205,472,3,0,2,10
PIPRAHAWA,163,67,322,434,4,0,4,21
PURAINA,291,106,306,391,1,0,4,23
PURAINI,225,59,248,352,0,0,0,5
RADHAPUR,109,71,293,276,4,0,2,1
RAJHENA,127,712,2665,2064,9,0,47,38
RANIYAPUR,159,170,593,185,4,0,7,10
SAIGAUN,184,47,515,218,1,0,3,51
SAMSERGANJ,308,152,724,402,5,0,35,22
SITAPUR,186,392,801,612,2,0,6,4
SONPUR,182,213,610,379,0,0,9,19
TITIHIRIYA,119,229,1251,215,0,0,2,10
UDHARAPUR,676,281,838,324,1,0,4,25
UDAYAPUR,157,14,289,206,6,0,3,4
TOTAL,18023,8288,31290,35225,489,0,348,1030
