VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAGESWARI,481,1105,1248,6
BANKATAWA,1775,1047,1051,10
BANKATTI,958,13,2,4
BASUDEVPUR,773,350,219,7
BAIJAPUR,1665,140,97,4
BELAHARI,827,41,28,13
BELBHAR,660,30,250,4
BETAHANI,1425,21,5,5
BHABANIYAPUR,653,70,15,0
BINAUNA,970,71,160,3
CHISAPANI,602,475,245,2
GANAPUR,947,45,34,4
GANGAPUR,1085,17,64,9
HIRMINIYA,1269,76,93,4
HOLIYA,1039,10,66,0
INDRAPUR,1188,364,109,16
JAISPUR,444,247,267,6
KALAPHANTA,681,25,1,2
KAMDI,999,315,518,9
KACHANAPUR,1331,215,149,8
KATKUIYA,897,28,1,8
KHAJURAKHURDA,829,187,114,15
KHASKARKANDO,472,1314,142,28
KHASKUSMA,1055,84,44,4
KOHALPUR,2598,3989,1553,33
LAXMANPUR,811,13,6,1
MAHADEVPURI,1133,516,243,11
MANIKAPUR,1335,783,475,4
MATEHIYA,1293,45,50,12
NARAINAPUR,827,17,8,7
NAUBASTA,1902,946,1176,9
NEPALGUNJ MUNICIPALITY,1125,12068,1836,151
PARASPUR,780,317,53,12
PHATTEPUR,2397,102,335,5
PIPRAHAWA,781,145,70,19
PURAINA,827,86,188,21
PURAINI,700,129,60,0
RADHAPUR,13,513,230,0
RAJHENA,1173,2265,2210,14
RANIYAPUR,784,207,127,10
SAIGAUN,935,57,15,12
SAMSERGANJ,1051,362,226,9
SITAPUR,636,754,604,9
SONPUR,1252,83,64,13
TITIHIRIYA,1189,401,232,4
UDHARAPUR,1784,223,128,14
UDAYAPUR,645,29,4,1
TOTAL,48996,30340,14815,542
