VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AMARPATTI,91,416,270,106,7,5,0,1,244,2,34,388,1,0,1
AMLEKHGANJ,191,1136,542,750,764,40,10,75,953,31,129,210,2,197,43
AMRITGANG,114,1348,599,480,61,26,2,12,865,49,189,1229,34,9,4
AMAB,84,811,392,372,78,6,7,17,612,1,62,736,29,5,33
BABUAIN,44,484,110,131,1,0,0,14,356,1,30,448,1,0,10
BACHHANPURWA,100,780,346,395,42,9,2,19,553,0,74,676,6,10,27
BADAKI FULBARIYA,115,772,274,95,2,7,1,2,417,6,91,696,4,0,17
BAGAHI,27,405,83,53,3,1,0,3,240,4,45,385,3,0,19
BAHUARI,24,621,432,327,154,27,3,6,336,7,127,534,0,15,1
BALIRAMPUR,38,967,420,357,6,8,1,6,467,11,94,913,35,3,9
BAGHAWAN,96,653,129,242,1,3,0,5,484,0,66,598,5,2,12
BANJARIYA,106,665,159,238,9,6,0,2,466,1,63,597,2,2,64
BARAINIYA,74,661,90,166,0,5,1,3,360,14,46,628,2,0,0
BARIYARPUR,112,1652,579,445,400,23,7,39,1229,18,189,1452,17,15,21
BASATPUR,150,846,226,274,11,3,0,9,414,4,79,729,0,2,31
BATARA,39,498,111,168,0,1,0,2,195,2,55,467,3,0,9
BELDARI,149,481,153,103,3,5,1,3,380,9,91,421,16,2,6
BENAULI,37,687,281,132,6,8,0,16,427,5,61,649,3,1,22
BHAGWANPUR,129,615,311,168,24,3,1,4,323,11,56,588,32,1,7
BHALUHI BHARBALIYA,98,884,330,441,68,5,0,3,629,54,94,787,7,0,6
BHARATGANJ SIGAUL,163,915,581,331,172,12,6,23,545,5,66,612,2,12,19
BHATAUDA,94,779,208,502,14,16,0,4,674,22,141,709,19,2,38
BHODAHA,147,874,305,378,5,8,4,12,646,1,85,809,5,2,10
BISHRAMPUR,67,820,216,306,36,11,5,2,622,13,88,742,23,3,25
BISHUNPUR,45,471,86,60,0,1,0,2,297,10,46,446,0,0,11
BISHUNPURWA,193,630,155,229,2,5,0,8,294,7,72,524,0,0,16
BUNIYAD,29,739,413,339,14,14,0,6,634,5,64,710,30,1,14
CHHATA PIPRA,81,967,182,610,57,28,2,16,747,8,96,851,17,4,17
CHHATAWA,15,741,259,196,14,3,0,32,359,3,63,687,18,1,15
DAHIYAR,118,997,244,367,188,14,1,18,807,8,103,882,13,6,19
DEWAPUR,55,579,217,132,16,3,3,13,318,13,59,527,2,0,8
DHARMA NAGAR,69,701,211,226,66,20,1,6,434,6,85,655,19,5,0
DOHARI,40,642,167,247,4,9,0,1,351,0,55,618,10,0,18
DUMARWANA,255,4090,2077,2290,1381,168,18,47,2961,39,364,3521,46,121,71
FATTEPUR,150,1340,390,791,467,48,2,6,1004,10,133,1272,17,9,14
GADHAHAL,84,443,86,194,22,7,1,14,164,2,41,381,14,3,18
GANJ BHAWANIPUR,133,744,141,320,118,16,8,12,568,6,125,540,15,10,33
GOLAGANJ,99,619,159,122,22,7,0,3,328,33,57,533,4,3,11
HARAIYA,191,1502,586,719,10,16,1,6,820,4,105,1363,6,0,21
HARDIYA,96,641,227,149,1,3,0,3,270,0,63,608,28,1,2
