VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AMARPATTI,182,321,0,4,0,1
AMLEKHGANJ,1187,156,2,0,1,24
AMRITGANG,1027,417,1,16,1,4
AMAB,636,289,1,2,0,0
BABUAIN,261,265,0,1,0,11
BACHHANPURWA,770,133,0,3,0,1
BADAKI FULBARIYA,102,772,0,4,0,26
BAGAHI,134,302,1,0,0,14
BAHUARI,572,63,0,3,0,8
BALIRAMPUR,646,352,1,4,7,4
BAGHAWAN,432,322,0,1,0,6
BANJARIYA,396,339,1,4,14,81
BARAINIYA,359,356,1,6,2,11
BARIYARPUR,1279,488,3,9,0,6
BASATPUR,551,462,0,5,0,9
BATARA,374,169,1,0,0,2
BELDARI,274,349,3,0,0,10
BENAULI,335,396,0,1,0,14
BHAGWANPUR,539,201,3,1,0,7
BHALUHI BHARBALIYA,724,256,0,3,1,4
BHARATGANJ SIGAUL,871,156,4,52,1,13
BHATAUDA,710,180,0,0,0,21
BHODAHA,659,359,4,1,0,8
BISHRAMPUR,647,248,1,5,0,11
BISHUNPUR,461,59,0,1,0,6
BISHUNPURWA,172,649,2,4,1,11
BUNIYAD,572,175,0,14,2,19
CHHATA PIPRA,797,265,1,1,0,1
CHHATAWA,458,309,0,0,0,4
DAHIYAR,848,281,1,2,0,2
DEWAPUR,163,465,0,2,1,11
DHARMA NAGAR,402,350,1,6,0,11
DOHARI,412,271,1,7,0,9
DUMARWANA,3153,1079,14,137,2,31
FATTEPUR,1268,215,4,7,1,9
GADHAHAL,389,151,0,3,0,2
GANJ BHAWANIPUR,747,67,0,4,56,36
GOLAGANJ,359,354,0,3,0,13
HARAIYA,1348,347,1,7,2,9
HARDIYA,309,424,0,1,0,5
HARIHARPUR,222,577,0,0,0,5
INARWAMAL,861,203,0,6,0,0
INARWASIRA,1083,515,1,2,1,5
ITIYAHI,798,159,2,8,0,10
JHITAKAIYA(DAKSHIN),847,230,5,7,1,91
JHITAKAIYA(UTTAR),632,326,1,1,0,4
JITPUR BHAWANIPUR,3378,309,1,9,0,24
KABAHIGOTH,631,266,1,3,0,26
KABAHIJABDI,408,233,0,0,0,4
KACHORWA,693,892,13,5,2,9
KAKADI,567,125,0,3,0,5
KALAIYA MUNICIPALITY,5834,813,19,32,9,140
KARAIYA,525,293,3,8,0,14
KHOPAWA,181,580,0,0,0,3
KHUTWAJABDI,451,255,0,4,0,7
KOLHABI,1104,155,1,1,1,10
KUDAWA,260,307,2,1,0,8
LAXMIPUR KOTWALI,343,445,5,1,0,4
LIPANIMAL,875,223,2,8,1,6
MADHURIJABDI,386,83,0,2,3,4
MAHENDRA ADARSHA,415,361,0,0,0,3
MAHESHPUR,842,513,6,1,0,9
MAJHARIYA,284,367,0,2,0,4
MANAHARWA,1311,480,2,28,0,9
MATIARWA,584,310,2,0,3,2
MOTISAR,568,174,1,6,0,9
NARAHI,354,346,0,9,4,22
NIJGADH,3433,473,17,15,21,23
PAKADIYA CHIKANI,239,426,0,2,0,5
PAPARPATI JABDI,158,279,0,1,0,3
PATERWA,571,32,1,3,0,10
PATHARHATI,465,158,3,5,0,2
PATHERA,495,263,0,7,8,0
PHETA,784,211,1,5,0,5
PIPARA SIMARA,4997,156,15,7,7,71
PIPARABIRTA,186,366,1,1,1,2
PIPARPATI PARCHROUWA,404,324,0,4,6,3
PIPRA BASANTAPUR,422,265,0,0,0,3
PIPRADHI GOTH,229,455,1,7,1,5
PRASAUNI,1101,75,3,7,42,4
PRASAUNA,583,128,0,6,0,1
PRASTOKA,978,384,2,4,1,15
PRASURAMPUR,318,619,2,9,0,5
PURAINIYA,514,326,3,3,0,8
RAGHUNATHPUR,457,262,0,2,0,0
RAMPUR TOKANI,903,135,1,1,0,4
RAMPURWA,597,228,0,2,0,1
RATANPURI,678,1040,2,337,19,7
RAUWAHI,170,341,0,1,1,8
SAPAHI,1629,177,1,5,0,26
SHREENAGAR BAIRIYA,474,196,0,4,0,4
SIHORWA,276,420,1,0,0,1
SINHASANI,397,446,0,5,1,3
SISAHANIYA,437,41,1,1,0,0
TEDHAKATTI,582,108,0,2,0,4
TELKUWA,381,404,1,3,1,22
TETARIYA,463,67,1,1,0,0
UCHIDIHA,378,323,2,3,0,2
UMARJAN,508,454,1,2,0,7
TOTAL,74169,31934,179,926,226,1166
