VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AMARPATTI,94,9,363,33,1,0,6,2
AMLEKHGANJ,219,893,52,173,1,0,1,31
AMRITGANG,292,15,868,268,2,0,16,5
AMAB,16,5,826,77,0,0,4,0
BABUAIN,106,3,354,59,5,0,0,11
BACHHANPURWA,71,64,646,123,1,0,0,2
BADAKI FULBARIYA,257,8,453,157,12,0,2,15
BAGAHI,82,2,313,40,0,0,0,14
BAHUARI,96,6,76,450,2,0,0,16
BALIRAMPUR,195,11,559,238,3,0,1,7
BAGHAWAN,198,1,410,148,0,0,0,4
BANJARIYA,148,6,506,86,2,0,0,87
BARAINIYA,238,7,334,132,2,0,0,22
BARIYARPUR,344,17,1055,347,4,0,8,10
BASATPUR,446,7,324,208,25,0,2,15
BATARA,219,12,208,101,2,0,2,2
BELDARI,87,6,428,104,2,0,5,4
BENAULI,105,4,506,101,11,0,1,18
BHAGWANPUR,162,4,463,69,41,0,0,12
BHALUHI BHARBALIYA,252,3,517,211,1,0,0,4
BHARATGANJ SIGAUL,28,8,996,5,28,0,3,29
BHATAUDA,167,9,469,230,8,0,0,28
BHODAHA,33,4,918,60,2,0,1,13
BISHRAMPUR,301,31,254,312,3,0,2,9
BISHUNPUR,40,0,416,65,1,0,0,5
BISHUNPURWA,128,1,593,96,0,0,5,16
BUNIYAD,126,11,437,173,14,0,1,20
CHHATA PIPRA,157,12,540,323,28,0,4,1
CHHATAWA,306,6,274,183,0,0,0,2
DAHIYAR,126,6,738,262,0,0,0,2
DEWAPUR,47,1,478,97,1,0,5,13
DHARMA NAGAR,192,3,341,216,7,0,1,10
DOHARI,133,4,481,73,0,0,0,9
DUMARWANA,293,1141,2437,412,83,0,4,46
FATTEPUR,191,54,1077,157,11,0,0,14
GADHAHAL,71,3,357,100,13,0,0,1
GANJ BHAWANIPUR,26,8,495,300,26,0,16,39
GOLAGANJ,213,4,383,120,0,0,0,9
HARAIYA,175,87,1317,105,15,0,4,11
HARDIYA,117,12,512,87,1,0,5,5
HARIHARPUR,264,4,457,74,0,0,0,5
INARWAMAL,234,15,702,94,0,0,10,15
INARWASIRA,463,22,948,161,2,0,0,11
ITIYAHI,318,29,277,325,14,0,3,11
JHITAKAIYA(DAKSHIN),416,19,458,145,6,0,0,137
JHITAKAIYA(UTTAR),212,4,641,90,5,0,1,11
JITPUR BHAWANIPUR,166,144,1814,1491,30,0,22,54
KABAHIGOTH,121,5,643,85,2,0,2,69
KABAHIJABDI,127,0,439,71,1,0,3,4
KACHORWA,237,18,970,204,172,0,3,10
KAKADI,20,13,627,25,5,0,0,10
KALAIYA MUNICIPALITY,700,97,2355,3419,36,0,38,202
KARAIYA,42,8,729,45,0,0,0,19
KHOPAWA,128,0,581,49,1,0,2,3
KHUTWAJABDI,177,6,308,217,0,0,2,7
KOLHABI,13,12,1063,171,1,0,1,11
KUDAWA,203,9,310,44,4,0,2,6
LAXMIPUR KOTWALI,161,2,567,61,0,0,2,5
LIPANIMAL,158,11,374,551,8,0,2,11
MADHURIJABDI,75,1,322,66,6,0,0,8
MAHENDRA ADARSHA,153,3,547,63,8,0,1,4
MAHESHPUR,260,1,902,172,25,0,0,11
MAJHARIYA,99,7,504,39,0,0,2,6
MANAHARWA,379,147,1120,162,4,0,3,15
MATIARWA,568,4,214,109,3,0,0,3
MOTISAR,184,13,353,192,5,0,2,9
NARAHI,105,6,517,82,1,0,0,24
NIJGADH,73,131,3117,591,27,0,7,36
PAKADIYA CHIKANI,51,3,499,91,8,0,13,7
PAPARPATI JABDI,188,7,197,45,0,0,0,4
PATERWA,190,11,292,113,0,0,4,7
PATHARHATI,76,6,485,49,8,0,3,6
PATHERA,200,2,504,60,0,0,7,0
PHETA,210,10,445,339,0,0,1,1
PIPARA SIMARA,185,1126,1401,2402,36,0,15,88
PIPARABIRTA,187,0,329,36,1,0,0,4
PIPARPATI PARCHROUWA,191,14,346,172,14,0,0,4
PIPRA BASANTAPUR,114,6,493,64,3,0,6,4
PIPRADHI GOTH,178,8,381,125,1,0,1,4
PRASAUNI,193,9,400,588,40,0,1,1
PRASAUNA,18,22,653,18,2,0,1,4
PRASTOKA,286,9,815,243,12,0,2,17
PRASURAMPUR,120,4,695,123,1,0,5,5
PURAINIYA,235,2,401,208,2,0,0,6
RAGHUNATHPUR,179,1,394,139,0,0,8,0
RAMPUR TOKANI,133,28,492,337,0,0,3,51
RAMPURWA,35,16,701,62,1,0,2,11
RATANPURI,444,130,1469,12,17,0,2,9
RAUWAHI,143,4,318,45,3,0,2,6
SAPAHI,63,52,1566,98,20,0,0,39
SHREENAGAR BAIRIYA,60,7,511,84,6,0,1,9
SIHORWA,75,18,553,43,4,0,3,2
SINHASANI,141,11,637,56,0,0,2,5
SISAHANIYA,48,4,224,204,0,0,0,0
TEDHAKATTI,123,2,526,39,0,0,0,6
TELKUWA,278,1,366,117,2,0,4,44
TETARIYA,27,5,452,42,1,0,0,5
UCHIDIHA,79,3,469,151,1,0,4,1
UMARJAN,100,8,786,58,0,0,3,17
TOTAL,17103,4748,62433,21462,907,0,300,1647
