VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AMARPATTI,464,36,7,1
AMLEKHGANJ,541,503,302,24
AMRITGANG,1044,346,70,6
AMAB,897,29,2,0
BABUAIN,461,63,3,11
BACHHANPURWA,778,99,29,1
BADAKI FULBARIYA,757,75,47,25
BAGAHI,397,30,10,14
BAHUARI,403,224,11,8
BALIRAMPUR,941,39,30,4
BAGHAWAN,626,32,97,6
BANJARIYA,583,6,165,81
BARAINIYA,621,85,18,11
BARIYARPUR,1444,280,55,6
BASATPUR,721,235,61,10
BATARA,488,20,36,2
BELDARI,568,19,39,10
BENAULI,685,47,0,14
BHAGWANPUR,670,36,38,7
BHALUHI BHARBALIYA,872,29,82,5
BHARATGANJ SIGAUL,689,93,302,13
BHATAUDA,752,76,60,23
BHODAHA,918,25,80,8
BISHRAMPUR,779,89,33,11
BISHUNPUR,482,32,7,6
BISHUNPURWA,771,28,29,11
BUNIYAD,678,73,12,19
CHHATA PIPRA,831,115,118,1
CHHATAWA,681,57,29,4
DAHIYAR,870,145,117,2
DEWAPUR,577,40,14,11
DHARMA NAGAR,628,72,58,12
DOHARI,533,62,96,9
DUMARWANA,1945,745,1696,30
FATTEPUR,1349,80,66,9
GADHAHAL,475,26,42,2
GANJ BHAWANIPUR,553,225,96,36
GOLAGANJ,613,56,47,13
HARAIYA,1158,332,215,9
HARDIYA,678,50,6,5
HARIHARPUR,720,51,28,5
INARWAMAL,1036,30,4,0
INARWASIRA,1443,112,47,5
ITIYAHI,869,68,30,10
JHITAKAIYA(DAKSHIN),1008,52,29,92
JHITAKAIYA(UTTAR),709,133,119,3
JITPUR BHAWANIPUR,2112,1370,215,24
KABAHIGOTH,847,31,23,26
KABAHIJABDI,554,43,44,4
KACHORWA,1274,146,185,9
KAKADI,639,23,33,5
KALAIYA MUNICIPALITY,2852,3148,710,137
KARAIYA,761,24,44,14
KHOPAWA,733,23,5,3
KHUTWAJABDI,580,106,24,7
KOLHABI,812,307,142,11
KUDAWA,511,7,52,8
LAXMIPUR KOTWALI,713,18,63,4
LIPANIMAL,870,178,61,6
MADHURIJABDI,369,59,46,4
MAHENDRA ADARSHA,732,18,26,3
MAHESHPUR,1144,56,162,9
MAJHARIYA,630,16,7,4
MANAHARWA,1342,149,330,9
MATIARWA,852,28,19,2
MOTISAR,675,58,16,9
NARAHI,553,92,68,22
NIJGADH,1027,1901,1032,22
PAKADIYA CHIKANI,609,31,25,7
PAPARPATI JABDI,405,27,6,3
PATERWA,426,31,150,10
PATHARHATI,567,33,31,2
PATHERA,710,47,16,0
PHETA,780,158,64,4
PIPARA SIMARA,1026,3073,1083,71
PIPARABIRTA,532,22,1,2
PIPARPATI PARCHROUWA,613,87,38,3
PIPRA BASANTAPUR,646,41,0,3
PIPRADHI GOTH,625,49,19,5
PRASAUNI,740,350,138,4
PRASAUNA,616,60,41,1
PRASTOKA,1169,126,74,15
PRASURAMPUR,894,41,13,5
PURAINIYA,702,84,60,8
RAGHUNATHPUR,638,59,24,0
RAMPUR TOKANI,721,197,122,4
RAMPURWA,711,28,88,1
RATANPURI,1765,176,135,7
RAUWAHI,480,22,11,8
SAPAHI,1268,436,108,26
SHREENAGAR BAIRIYA,613,45,16,4
SIHORWA,465,91,141,1
SINHASANI,820,20,9,3
SISAHANIYA,335,112,33,0
TEDHAKATTI,664,26,2,4
TELKUWA,713,58,19,22
TETARIYA,523,7,2,0
UCHIDIHA,589,99,18,2
UMARJAN,940,20,5,7
TOTAL,78593,18557,10281,1169
