VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BADALPUR,882,321,0,11,3,0
BAGANAHA,1304,313,8,91,762,4
BANIYABHAR,2007,130,6,25,1390,3
BELAWA,1615,629,5,249,735,2
BHIMAPUR,795,914,7,13,4,4
DAULATPUR,1098,277,18,21,1,1
DEUDAKALA,2723,994,6,9,43,22
DHADHAWAR,2548,953,6,104,749,9
DHODHARI,715,165,6,322,676,14
GOLA,801,274,0,34,56,1
GULARIYA MUNICIPALITY,6613,4346,24,31,193,13
JAMUNI,2113,451,12,12,5,8
KALIKA,2018,1021,8,10,68,6
KHAIRI CHANDANPUR,675,275,1,174,57,5
MAGARAGADI,2381,262,11,23,1169,23
MAHAMADPUR,961,794,7,8,70,4
MANAU,754,145,4,66,198,1
MANPUR MAINAPOKHAR,1293,437,10,10,17,0
MANPUR TAPARA,1006,563,2,89,9,1
MOTIPUR,3382,646,13,9,117,11
NAYA GAUN,732,268,3,12,16,1
NEULAPUR,1847,587,7,124,384,21
PADANAHA,1121,63,1,6,277,1
PASUPATINAGAR,855,300,5,17,56,3
PATABHAR,1024,767,17,394,362,1
RAJAPUR,1628,999,9,14,3,4
SANOSHREE,2902,144,7,114,956,6
SIVAPUR,871,425,4,10,151,1
SORHAWA,2025,791,1,0,14,3
SURYAPATAWA,941,49,1,390,376,4
TARATAL,1332,273,2,1,171,2
THAKUDWARA,1073,293,2,31,339,0
TOTAL,52035,18869,213,2424,9427,179
