VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BADALPUR,1212,2,0,3
BAGANAHA,2455,16,1,10
BANIYABHAR,3525,23,3,10
BELAWA,3117,104,5,9
BHIMAPUR,1728,4,2,3
DAULATPUR,1405,4,0,7
DEUDAKALA,3659,40,6,92
DHADHAWAR,4272,40,28,29
DHODHARI,1868,13,1,16
GOLA,1157,3,0,6
GULARIYA MUNICIPALITY,10265,765,86,104
JAMUNI,2499,43,2,57
KALIKA,3046,60,5,20
KHAIRI CHANDANPUR,1159,14,4,10
MAGARAGADI,3775,64,8,22
MAHAMADPUR,1828,7,0,9
MANAU,1160,5,1,2
MANPUR MAINAPOKHAR,1716,24,3,24
MANPUR TAPARA,1648,20,0,2
MOTIPUR,3960,197,4,17
NAYA GAUN,1025,3,3,1
NEULAPUR,2779,161,4,26
PADANAHA,1458,6,2,3
PASUPATINAGAR,1224,5,2,5
PATABHAR,2544,12,6,3
RAJAPUR,2355,136,22,144
SANOSHREE,3863,214,12,40
SIVAPUR,1437,11,1,13
SORHAWA,2769,34,3,28
SURYAPATAWA,1752,1,1,7
TARATAL,1728,12,5,36
THAKUDWARA,1688,29,18,3
TOTAL,80076,2072,238,761
