VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
BADALPUR,6389,3160,3229,4171,2339,1832,147,67,80,2071,754,1317,0,0,0,65.28408201596494,74.01898734177215,56.73583152678848
BAGANAHA,11738,5539,6199,7419,4031,3388,268,123,145,4049,1385,2664,2,0,2,63.20497529391719,72.77486910994764,54.653976447814166
BANIYABHAR,15979,7702,8277,10508,5711,4797,358,140,218,5111,1849,3262,2,2,0,65.76131172163464,74.14957153985978,57.95578108010149
BELAWA,13968,6605,7363,9022,4868,4154,240,115,125,4696,1619,3077,10,3,7,64.59049255441009,73.70174110522332,56.41722124134184
BHIMAPUR,9148,4404,4744,5638,3123,2515,193,77,116,3310,1203,2107,7,1,6,61.630957586357674,70.91280653950953,53.01433389544689
DAULATPUR,6893,3257,3636,4083,2219,1864,51,24,27,2758,1013,1745,1,1,0,59.23400551283912,68.13018114829597,51.26512651265126
DEUDAKALA,17529,8081,9448,11721,6034,5687,610,251,359,5185,1791,3394,13,5,8,66.86633578641108,74.66897661180548,60.192633361558
DHADHAWAR,20879,10143,10736,13279,7264,6015,441,199,242,7153,2679,4474,6,1,5,63.599789261937836,71.61589273390516,56.02645305514158
DHODHARI,9138,4367,4771,5451,2922,2529,185,73,112,3501,1372,2129,1,0,1,59.65200262639527,66.9109228303183,53.0077551875917
GOLA,6200,2923,3277,4189,2264,1925,27,13,14,1983,646,1337,1,0,1,67.56451612903226,77.45466985973314,58.742752517546535
GULARIYA MUNICIPALITY,50443,25223,25220,30244,16880,13364,1352,669,683,18828,7667,11161,19,7,12,59.956782903475215,66.92304642588114,52.98969072164949
JAMUNI,10393,4484,5909,7320,3515,3805,273,124,149,2796,844,1952,4,1,3,70.43202155296835,78.38983050847457,64.39329835843628
KALIKA,12292,5760,6532,8383,4229,4154,175,79,96,3727,1448,2279,7,4,3,68.19882850634559,73.42013888888889,63.594611145131665
KHAIRI CHANDANPUR,6495,3188,3307,4375,2375,2000,255,124,131,1865,689,1176,0,0,0,67.35950731331793,74.49811794228356,60.47777441790142
MAGARAGADI,17101,7836,9265,11430,5889,5541,163,71,92,5506,1876,3630,2,0,2,66.83819659669025,75.1531393568147,59.80572045331895
MAHAMADPUR,9804,4866,4938,5588,3230,2358,138,63,75,4078,1573,2505,0,0,0,56.99714402284781,66.37895602137279,47.75212636695018
MANAU,5813,2732,3081,3638,1875,1763,45,19,26,2128,837,1291,2,1,1,62.5838637536556,68.63103953147876,57.221681272314186
MANPUR MAINAPOKHAR,8004,3754,4250,5490,2981,2509,165,64,101,2349,709,1640,0,0,0,68.59070464767616,79.40863079381992,59.03529411764706
MANPUR TAPARA,8649,4140,4509,6044,3246,2798,30,13,17,2574,881,1693,1,0,1,69.88091108798706,78.40579710144927,62.05367043690397
MOTIPUR,19119,8898,10221,12842,6741,6101,385,147,238,5887,2010,3877,5,0,5,67.16878497829384,75.75859743762643,59.69083259954995
NAYA GAUN,5319,2531,2788,3403,1874,1529,16,7,9,1899,650,1249,1,0,1,63.978191389358905,74.0418806795733,54.842180774748925
NEULAPUR,13466,6297,7169,9649,5066,4583,224,107,117,3591,1123,2468,2,1,1,71.65453735333432,80.45100841670637,63.92802343423072
PADANAHA,7741,3748,3993,5157,2771,2386,239,96,143,2345,881,1464,0,0,0,66.61929983206304,73.93276414087512,59.75457049837215
PASUPATINAGAR,6344,2913,3431,3958,2054,1904,154,78,76,2231,780,1451,1,1,0,62.38965952080706,70.51150017164434,55.49402506557855
PATABHAR,13529,6343,7186,9208,4955,4253,65,28,37,4255,1360,2895,1,0,1,68.06120186266538,78.11760996373955,59.18452546618425
RAJAPUR,11845,5844,6001,7748,4203,3545,66,36,30,4029,1604,2425,2,1,1,65.41156606162937,71.91991786447639,59.07348775204133
SANOSHREE,16313,7239,9074,12220,6006,6214,163,84,79,3925,1148,2777,5,1,4,74.90958131551523,82.96726067136345,68.48137535816619
SIVAPUR,6997,3218,3779,5008,2569,2439,62,20,42,1926,629,1297,1,0,1,71.57353151350578,79.83219390926041,64.5408838317015
SORHAWA,12642,5984,6658,7516,4078,3438,390,180,210,4735,1725,3010,1,1,0,59.45261825660497,68.14839572192514,51.63712826674677
SURYAPATAWA,8966,4250,4716,5489,2945,2544,185,81,104,3292,1224,2068,0,0,0,61.220165068034795,69.29411764705883,53.9440203562341
TARATAL,7603,3392,4211,5259,2585,2674,121,57,64,2223,750,1473,0,0,0,69.17006444824412,76.20872641509435,63.50035620992638
THAKUDWARA,7931,3572,4359,5203,2644,2559,76,29,47,2650,898,1752,2,1,1,65.60332871012483,74.02015677491602,58.706125258086715
INSTITUTIONAL,2953,2756,197,2831,2667,164,6,1,5,116,88,28,0,0,0,95.86860819505587,96.77068214804065,83.24873096446701
