VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BAGESWORI,738,12,370,0,10,1,2,4
BALKOT,303,115,3528,14,3,0,7,29
BHAKTAPUR MUNICIPALITY,3337,777,12650,12,4,81,685,93
CHANGUNARAYAN,951,9,407,0,2,2,0,3
CHHALING,1381,6,383,1,9,3,30,4
CHITAPOL,896,12,354,0,6,4,1,1
DADHIKOT,700,52,1914,4,1,0,2,15
DUWAKOT,459,69,1819,4,3,7,2,49
GUNDU,993,10,200,0,12,1,41,0
JHAUKHEL,795,25,772,3,6,2,11,17
KAUTUNJE,676,138,3780,1,13,1,30,53
MADHYAPUR THIMI MUNICIPALITY,1141,754,18168,9,9,18,84,119
NAGARKOT,803,6,163,0,0,0,0,1
NANKHEL,734,16,467,0,4,0,3,1
SIPADOL,940,64,1247,1,5,2,10,9
SIRUTAR,274,17,716,4,2,0,17,3
SUDAL,1179,6,274,2,89,1,0,11
TATHALI,972,7,251,1,12,2,16,3
TOTAL,17272,2095,47463,56,190,125,941,415
