VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BAGESWORI,963,4,12,10,115,3,26,4
BALKOT,2711,606,334,80,147,0,97,24
BHAKTAPUR MUNICIPALITY,15998,107,444,217,350,4,425,94
CHANGUNARAYAN,906,41,170,97,152,1,4,3
CHHALING,1407,9,61,126,176,5,29,4
CHITAPOL,906,4,125,93,142,0,3,1
DADHIKOT,2442,11,100,2,90,0,30,13
DUWAKOT,1279,217,403,178,218,2,67,48
GUNDU,1170,1,21,28,35,0,1,1
JHAUKHEL,994,176,269,142,23,0,10,17
KAUTUNJE,4306,7,137,26,96,1,64,55
MADHYAPUR THIMI MUNICIPALITY,13431,1412,2085,602,1389,2,1263,118
NAGARKOT,803,1,6,16,145,1,0,1
NANKHEL,1139,1,41,10,33,0,0,1
SIPADOL,1772,1,180,68,182,13,53,9
SIRUTAR,965,7,46,8,2,0,2,3
SUDAL,1429,2,55,26,23,10,6,11
TATHALI,817,0,286,133,24,0,1,3
TOTAL,53438,2607,4775,1862,3342,42,2081,410
