VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BAGESWORI,789,322,1,13,3,0,9
BALKOT,615,3285,10,5,13,9,62
BHAKTAPUR MUNICIPALITY,8320,8923,53,37,10,10,286
CHANGUNARAYAN,837,353,2,14,161,4,3
CHHALING,1305,340,7,20,132,2,11
CHITAPOL,854,326,12,9,67,0,6
DADHIKOT,891,1707,16,27,19,7,21
DUWAKOT,760,1485,20,29,15,0,103
GUNDU,916,305,4,4,27,0,1
JHAUKHEL,908,638,5,4,57,3,16
KAUTUNJE,711,3755,17,28,90,1,90
MADHYAPUR THIMI MUNICIPALITY,3884,15443,107,190,30,302,346
NAGARKOT,803,137,6,21,1,2,3
NANKHEL,863,353,5,3,0,0,1
SIPADOL,810,1371,8,13,56,2,18
SIRUTAR,525,490,3,3,5,0,7
SUDAL,1313,212,3,7,14,3,10
TATHALI,940,232,4,9,75,0,4
TOTAL,26044,39677,283,436,775,345,997
