VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAGESWORI,96,802,235,4
BALKOT,11,3821,139,28
BHAKTAPUR MUNICIPALITY,50,16900,590,99
CHANGUNARAYAN,299,859,213,3
CHHALING,223,852,738,4
CHITAPOL,48,785,440,1
DADHIKOT,32,2414,225,17
DUWAKOT,40,1932,390,50
GUNDU,116,722,418,1
JHAUKHEL,79,1092,443,17
KAUTUNJE,15,4077,545,55
MADHYAPUR THIMI MUNICIPALITY,146,19555,472,129
NAGARKOT,285,424,263,1
NANKHEL,63,872,289,1
SIPADOL,187,1773,308,10
SIRUTAR,30,550,450,3
SUDAL,255,1129,167,11
TATHALI,104,569,588,3
TOTAL,2079,59128,6913,437
