VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AAMTEP,358,0,0,50,164,0,0,3
ANNAPURNA,270,0,0,10,47,0,0,0
BAIKUNTHE,430,1,0,84,56,7,0,3
BASIKHORA,706,1,66,45,26,3,1,0
WASHINGTHARPU,193,0,28,22,97,5,0,0
BASTEEM,335,2,26,127,51,0,1,1
BHAISIPANKHA,488,0,3,13,27,4,0,0
BHOJPUR,1781,1,4,17,266,0,0,1
YOON,243,1,11,58,44,6,0,0
BHULKE,352,0,12,77,74,0,0,1
BOKHIM,316,2,0,39,305,1,1,0
BOYA,494,1,15,68,203,10,0,0
CHAMPE,460,0,0,24,114,1,0,0
CHANGRE,322,1,5,156,122,0,24,0
CHARAMBI,398,0,71,105,45,0,1,0
CHAUKIDADA,402,7,1,10,39,6,0,1
CHHINAMAKHU,362,2,8,13,200,26,0,0
DALGAUN,376,0,33,135,41,0,0,0
DEURALI,373,0,121,190,472,4,1,1
DEWANTAR,534,0,6,95,6,4,0,0
DHODLEKHANI,304,2,0,17,72,5,0,0
DOBHANE,772,12,4,91,93,3,0,0
DUMMANA,556,4,21,158,46,25,9,1
GOGANE,388,3,0,3,73,0,0,0
GUPTESHWOR,352,0,2,4,57,1,0,1
HASANPUR,420,0,2,59,4,22,30,0
HELAUCHHA,449,3,7,46,209,37,1,0
HOMTANG,734,2,37,438,54,6,0,4
JARAYOTAR,611,0,1,101,43,25,1,0
KEEMALUNG,306,0,0,1,10,0,1,0
KEURENIPANI,306,0,18,100,433,16,0,0
KHAIRANG,287,0,42,146,90,2,0,0
KHARTAMCHHA,299,1,2,1,21,1,0,0
KHATAMMA,393,1,2,2,10,0,4,1
KHAWA,374,1,1,10,58,2,0,1
KOT,623,2,9,77,140,5,0,7
KUDAK KAULE,428,1,0,41,30,3,0,2
KULUNG,565,0,21,31,245,8,0,4
LEKHARKA,493,0,2,14,14,9,0,0
MANE BHANJYANG,233,1,31,65,189,3,0,0
MULPANI,613,3,0,23,198,6,0,1
NAGI,240,0,0,4,17,1,0,0
NEPALEDADA,406,5,5,42,304,5,0,2
OKHRE,402,0,0,39,109,13,0,1
PANGCHA,325,0,0,75,37,43,2,1
PATLE PANI,368,1,7,135,198,5,0,0
PAWALA,212,0,0,22,1,3,0,0
PYAULI,295,2,54,107,94,1,0,1
RANIBAS,911,3,85,107,118,2,0,1
SANGPANG,482,1,2,44,211,15,1,0
SANO DUMMA,340,0,1,112,42,3,0,1
SHYAMSILA,421,0,13,18,103,18,0,1
SIDDHESWOR,441,0,3,12,145,0,0,0
SINDRANG,233,0,0,6,11,9,0,0
TAKSAR,452,3,4,56,306,2,0,1
THIDINGKHA,377,0,5,46,0,1,0,0
THULO DUMMA,399,0,4,39,38,1,0,0
TIMMA,483,3,2,7,51,6,0,0
TIWARI BHANJYANG,305,0,12,100,136,0,0,0
TUNGGECHHA,358,0,0,21,107,0,0,3
BALANKHA,228,0,3,40,74,8,1,0
YAKU,182,2,147,170,70,0,1,1
YANGPANG,378,0,9,64,202,1,0,0
TOTAL,26937,75,968,4032,6862,393,80,46
