VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AAMTEP,559,0,0,11,0,0,5
ANNAPURNA,324,1,0,2,0,0,0
BAIKUNTHE,566,0,2,8,0,0,5
BASIKHORA,807,1,2,37,0,1,0
WASHINGTHARPU,344,0,0,0,0,0,1
BASTEEM,523,2,1,14,0,2,1
BHAISIPANKHA,381,2,2,3,147,0,0
BHOJPUR,1586,98,10,32,337,3,4
YOON,354,0,1,7,0,1,0
BHULKE,512,0,0,2,1,0,1
BOKHIM,642,1,4,11,5,0,1
BOYA,711,2,5,62,10,1,0
CHAMPE,592,0,1,6,0,0,0
CHANGRE,609,3,0,18,0,0,0
CHARAMBI,547,1,0,71,0,0,1
CHAUKIDADA,357,2,7,83,4,12,1
CHHINAMAKHU,581,0,0,25,0,4,1
DALGAUN,555,0,3,24,1,1,1
DEURALI,1015,2,2,140,0,0,3
DEWANTAR,586,13,0,46,0,0,0
DHODLEKHANI,398,0,1,1,0,0,0
DOBHANE,866,2,7,97,1,1,1
DUMMANA,562,9,29,218,0,1,1
GOGANE,462,0,0,5,0,0,0
GUPTESHWOR,409,0,1,5,0,1,1
HASANPUR,270,0,26,241,0,0,0
HELAUCHHA,720,1,15,15,0,1,0
HOMTANG,1095,6,3,159,0,5,7
JARAYOTAR,633,16,4,129,0,0,0
KEEMALUNG,274,4,22,18,0,0,0
KEURENIPANI,647,3,23,197,0,2,1
KHAIRANG,506,0,2,58,1,0,0
KHARTAMCHHA,320,0,2,3,0,0,0
KHATAMMA,364,1,20,27,0,0,1
KHAWA,433,1,3,10,0,0,0
KOT,834,0,1,12,9,1,6
KUDAK KAULE,429,0,3,71,0,0,2
KULUNG,692,0,5,169,0,2,6
LEKHARKA,524,0,1,6,0,0,1
MANE BHANJYANG,490,1,1,28,0,0,2
MULPANI,645,6,10,167,14,0,2
NAGI,252,1,4,5,0,0,0
NEPALEDADA,617,4,0,144,0,2,2
OKHRE,555,1,1,3,0,0,4
PANGCHA,292,2,18,167,0,1,3
PATLE PANI,646,1,1,63,0,3,0
PAWALA,204,0,1,33,0,0,0
PYAULI,544,3,3,2,0,0,2
RANIBAS,1179,4,0,43,0,0,1
SANGPANG,718,3,6,27,0,2,0
SANO DUMMA,474,0,3,20,0,0,2
SHYAMSILA,544,4,2,8,0,14,2
SIDDHESWOR,515,1,6,5,73,1,0
SINDRANG,244,0,0,15,0,0,0
TAKSAR,805,2,1,11,0,1,4
THIDINGKHA,424,0,0,5,0,0,0
THULO DUMMA,467,0,0,14,0,0,0
TIMMA,481,0,6,32,30,3,0
TIWARI BHANJYANG,537,3,5,4,0,0,4
TUNGGECHHA,480,0,1,1,0,3,4
BALANKHA,338,2,1,12,0,0,1
YAKU,545,1,1,25,0,0,1
YANGPANG,590,1,1,61,0,0,1
TOTAL,35175,211,280,2938,633,69,87
