VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AYODHYAPURI,481,558,194,1053,67,159,38,5
BACHHAULI,200,2090,6,1,4,0,6,14
BAGAUDA,303,1433,143,604,3,9,33,4
BHANDARA,600,2752,78,34,1,0,20,4
BHARATPUR MUNICIPALITY,19236,13466,3443,404,40,8,152,190
BIRENDRANAGAR,2046,943,213,162,2,1,0,7
CHAINPUR,1347,1939,81,378,2,0,16,16
CHANDI BHANJYANG,771,0,0,38,11,24,0,3
DAHAKHANI,843,28,1,49,1,16,0,1
DARECHOK,1994,4,1,10,14,3,1,2
DIBYANAGAR,108,1578,108,48,1,2,84,7
FULBARI,9,925,4,1,4,0,1,1
GARDI,237,1520,43,288,21,18,34,7
GITANAGAR,74,3050,179,21,7,0,27,17
GUNJANAGAR,268,2834,337,17,6,3,75,6
JAGATPUR,27,1109,785,581,19,4,105,5
JUTPANI,1979,247,617,381,86,4,4,7
KABILAS,893,2,0,115,72,78,0,4
KATHAR,122,1890,3,0,0,4,17,4
KAULE,825,0,11,108,0,11,0,8
KHAIRAHANI,2293,2284,36,16,3,0,102,28
KORAK,927,0,50,155,17,7,2,3
KUMROJ,522,1199,0,0,1,0,27,1
LOTHAR,429,0,0,293,1,38,3,2
MADI KALYANPUR,5,741,95,825,3,11,23,2
MANGALPUR,242,3872,313,37,0,0,45,18
MEGHAULI,35,2511,139,291,3,0,100,7
PADAMPUR,1688,657,356,393,2,0,130,5
PARBATIPUR,29,1391,132,15,1,0,40,6
PATIHANI,125,2527,84,42,6,0,52,9
PIPLE,947,1787,224,137,9,45,111,5
PITHUWA,1008,185,1472,7,217,0,2,7
RATNANAGAR MUNICIPALITY,3689,6505,362,134,11,1,62,87
SARADANAGAR,14,2507,103,18,1,0,41,8
SHAKTIKHOR,1461,234,9,157,1,33,1,13
SIBANAGAR,23,1744,60,10,1,0,27,3
SIDDI,483,0,2,150,1,12,2,1
SUKRANAGAR,6,677,844,304,0,0,31,1
TOTAL,46289,65189,10528,7277,639,491,1414,518
