VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AYODHYAPURI,174,164,18,2186,2,11
BACHHAULI,221,994,208,874,7,17
BAGAUDA,515,227,71,1709,5,5
BHANDARA,1070,556,316,1536,6,5
BHARATPUR MUNICIPALITY,5041,16447,13246,1469,266,470
BIRENDRANAGAR,1541,447,514,855,6,11
CHAINPUR,2148,811,342,427,24,27
CHANDI BHANJYANG,739,35,2,67,0,4
DAHAKHANI,391,3,3,539,1,2
DARECHOK,942,590,238,247,6,6
DIBYANAGAR,413,693,222,566,23,19
FULBARI,165,595,78,69,36,2
GARDI,351,256,80,1466,4,11
GITANAGAR,874,1275,347,819,38,22
GUNJANAGAR,377,2554,175,393,32,15
JAGATPUR,588,1102,256,535,145,9
JUTPANI,2188,609,150,363,1,14
KABILAS,406,156,19,570,10,3
KATHAR,258,498,209,1041,14,20
KAULE,888,0,0,66,1,8
KHAIRAHANI,564,1892,1256,1005,16,29
KORAK,301,2,2,841,9,6
KUMROJ,72,530,84,1055,5,4
LOTHAR,238,0,0,517,1,10
MADI KALYANPUR,667,116,13,902,4,3
MANGALPUR,542,2228,727,831,162,37
MEGHAULI,304,1113,192,1191,278,8
PADAMPUR,782,727,192,1512,8,10
PARBATIPUR,397,871,85,184,64,13
PATIHANI,725,1441,24,617,19,19
PIPLE,819,646,121,1661,6,12
PITHUWA,2093,468,180,143,4,10
RATNANAGAR MUNICIPALITY,4980,2931,1862,799,55,224
SARADANAGAR,302,1593,485,283,17,12
SHAKTIKHOR,388,156,49,1291,5,20
SIBANAGAR,642,813,158,220,34,1
SIDDI,205,0,0,442,1,3
SUKRANAGAR,418,821,202,359,61,2
TOTAL,33729,44360,22126,29650,1376,1104
