VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AYODHYAPURI,2143,2509,1580,1572,530,883,33,54
BACHHAULI,1933,2076,1483,1478,428,583,22,15
BAGAUDA,1965,2502,1494,1618,451,846,20,38
BHANDARA,3047,3411,2235,2325,744,993,68,93
BHARATPUR MUNICIPALITY,24067,22408,17780,16450,5645,5419,642,539
BIRENDRANAGAR,2571,2796,1952,1887,556,799,63,110
CHAINPUR,2878,3211,2220,2241,600,869,58,101
CHANDI BHANJYANG,1180,1198,810,770,362,416,8,12
DAHAKHANI,1077,1229,702,684,349,495,26,50
DARECHOK,2032,1984,1498,1413,515,539,19,32
DIBYANAGAR,1403,1546,1170,1085,223,442,10,19
FULBARI,586,626,503,480,64,121,19,25
GARDI,1534,2011,1208,1333,290,610,36,68
GITANAGAR,2273,2376,1795,1723,410,586,68,67
GUNJANAGAR,2595,2909,2073,2039,484,807,38,63
JAGATPUR,2112,2428,1640,1665,456,732,16,31
JUTPANI,2611,2884,2003,2046,541,752,67,86
KABILAS,1290,1375,846,833,424,516,20,26
KATHAR,1670,2062,1321,1430,336,613,13,19
KAULE,1370,1332,778,686,584,635,8,11
KHAIRAHANI,3613,3842,2759,2757,731,958,123,127
KORAK,1701,1689,1123,1051,548,602,30,36
KUMROJ,1401,1591,1055,1093,308,433,38,65
LOTHAR,1301,1223,594,507,689,707,18,9
MADI KALYANPUR,1231,1483,999,1009,213,449,19,25
MANGALPUR,3418,3651,2530,2504,786,1035,102,112
MEGHAULI,2673,3213,2107,2217,486,871,80,125
PADAMPUR,3050,3293,2141,2080,893,1193,16,20
PARBATIPUR,1109,1197,911,872,182,310,16,15
PATIHANI,1980,2116,1579,1531,376,551,25,34
PIPLE,3246,3405,2337,2303,864,1057,45,45
PITHUWA,2004,2297,1672,1726,296,520,36,51
RATNANAGAR MUNICIPALITY,7928,8125,6146,5906,1589,1964,193,255
SARADANAGAR,1877,2026,1525,1470,339,539,13,17
SHAKTIKHOR,2081,2240,1302,1354,731,829,48,57
SIBANAGAR,1214,1396,1011,1026,194,362,9,8
SIDDI,910,934,518,481,368,419,24,34
SUKRANAGAR,1434,1555,1131,1120,282,403,21,32
INSTITUTIONAL,3258,854,1278,605,1959,245,21,4
