VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AYODHYAPURI,1125,1298,65,34,9,0,8,16
BACHHAULI,248,1394,64,587,3,0,7,18
BAGAUDA,360,620,1374,167,2,0,4,5
BHANDARA,302,2157,351,623,10,0,37,9
BHARATPUR MUNICIPALITY,707,12718,145,22637,97,0,121,514
BIRENDRANAGAR,230,2240,234,627,15,0,14,14
CHAINPUR,331,2397,202,787,17,0,17,28
CHANDI BHANJYANG,444,357,29,9,3,0,0,5
DAHAKHANI,434,466,31,2,4,0,0,2
DARECHOK,296,1127,62,535,2,0,0,7
DIBYANAGAR,273,1339,44,255,1,0,2,22
FULBARI,36,620,1,274,8,0,1,5
GARDI,355,534,1110,150,3,0,4,12
GITANAGAR,503,2035,24,759,5,0,20,29
GUNJANAGAR,369,2452,29,665,6,0,6,19
JAGATPUR,722,1583,28,283,5,0,1,13
JUTPANI,125,2592,41,542,9,0,2,14
KABILAS,301,784,23,49,2,0,0,5
KATHAR,347,1356,74,206,7,0,20,30
KAULE,640,76,237,1,0,0,1,8
KHAIRAHANI,151,1928,251,2360,12,0,23,37
KORAK,557,516,74,0,7,0,2,5
KUMROJ,350,1174,29,184,4,0,1,8
LOTHAR,595,84,78,1,0,0,2,6
MADI KALYANPUR,335,920,387,52,5,0,1,5
MANGALPUR,446,3006,14,1013,2,0,3,43
MEGHAULI,826,1913,26,284,1,0,29,7
PADAMPUR,461,2310,35,327,8,0,72,18
PARBATIPUR,106,1087,10,365,1,0,31,14
PATIHANI,588,1621,28,552,21,0,13,22
PIPLE,738,2104,82,287,13,0,22,19
PITHUWA,150,2048,43,641,3,0,3,10
RATNANAGAR MUNICIPALITY,1048,5090,304,4094,16,0,68,231
SARADANAGAR,130,1626,12,898,9,0,0,17
SHAKTIKHOR,376,1305,121,54,7,0,24,22
SIBANAGAR,166,1312,5,377,4,0,3,1
SIDDI,346,125,170,0,3,0,1,6
SUKRANAGAR,222,1241,101,285,5,0,3,6
TOTAL,15739,67555,5938,40966,329,0,566,1252
