VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AYODHYAPURI,319,1401,830,5
BACHHAULI,110,1553,644,14
BAGAUDA,550,1590,388,4
BHANDARA,447,2082,956,4
BHARATPUR MUNICIPALITY,323,32952,3462,202
BIRENDRANAGAR,152,2374,840,8
CHAINPUR,242,2976,545,16
CHANDI BHANJYANG,94,326,424,3
DAHAKHANI,144,254,540,1
DARECHOK,179,1639,209,2
DIBYANAGAR,185,1420,323,8
FULBARI,7,868,69,1
GARDI,407,1444,310,7
GITANAGAR,137,2771,449,18
GUNJANAGAR,187,2782,571,6
JAGATPUR,109,1973,546,7
JUTPANI,153,2630,534,8
KABILAS,199,493,468,4
KATHAR,117,797,1123,3
KAULE,93,232,630,8
KHAIRAHANI,170,3896,669,27
KORAK,141,36,980,4
KUMROJ,228,764,757,1
LOTHAR,386,4,374,2
MADI KALYANPUR,208,1272,223,2
MANGALPUR,299,3619,591,18
MEGHAULI,102,2067,910,7
PADAMPUR,380,1740,1106,5
PARBATIPUR,72,1224,312,6
PATIHANI,123,2359,353,10
PIPLE,289,2075,896,5
PITHUWA,106,2414,368,10
RATNANAGAR MUNICIPALITY,516,7865,2382,88
SARADANAGAR,74,2180,429,9
SHAKTIKHOR,307,722,867,13
SIBANAGAR,70,1572,223,3
SIDDI,100,4,546,1
SUKRANAGAR,97,1325,440,1
TOTAL,7822,97695,26287,541
