VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,27045,142094,66556,75538,5.253984100573119,88.10929598347852
AJAYAMERU,786,3852,1765,2087,4.900763358778626,84.57115476760902
ALITAL,2379,13461,6446,7015,5.658259773013872,91.88880969351389
AMARGADHI MUNICIPALITY,4778,21245,10003,11242,4.446421096693177,88.97882938978829
ASHIGRAM,650,3388,1573,1815,5.212307692307692,86.66666666666667
BAGARKOT,859,4632,2279,2353,5.392316647264261,96.85507862303443
BELAPUR,1451,7374,3274,4100,5.082012405237767,79.85365853658537
BHADRAPUR,442,2165,962,1203,4.898190045248869,79.96674979218619
BHAGESWOR,682,3717,1733,1984,5.4501466275659824,87.34879032258065
CHIPUR,555,2724,1251,1473,4.908108108108108,84.928716904277
DEWAL DIBYAPUR,1023,5879,2786,3093,5.746823069403715,90.07436146136438
GANESHPUR,715,3592,1485,2107,5.023776223776224,70.47935453251067
GANKHET,901,5070,2500,2570,5.6270810210876805,97.27626459143968
JOGBUDA,3719,21632,10358,11274,5.816617370260823,91.87511087457868
KAILAPALAMANDAU,896,4480,2021,2459,5,82.18788125254169
KOTELI,1016,4600,1956,2644,4.52755905511811,73.97881996974282
MANILEK,970,4618,1970,2648,4.760824742268041,74.39577039274926
MASHTAMANDAU,809,3633,1466,2167,4.490729295426452,67.65113059529303
NAWADURGA,695,3365,1407,1958,4.841726618705036,71.85903983656793
RUPAL,921,5780,2716,3064,6.275787187839305,88.64229765013056
SAMEJEE,505,2446,1130,1316,4.843564356435643,85.86626139817629
SIRSHA,2271,13351,6436,6915,5.878907970057243,93.07302964569776
