VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AJAYAMERU,759,17,3,7
ALITAL,2304,45,6,24
AMARGADHI MUNICIPALITY,3907,680,125,66
ASHIGRAM,606,34,3,7
BAGARKOT,821,18,0,20
BELAPUR,1414,17,5,15
BHADRAPUR,429,5,0,8
BHAGESWOR,659,3,0,20
CHIPUR,519,11,1,24
DEWAL DIBYAPUR,1012,3,4,4
GANESHPUR,686,9,0,20
GANKHET,867,14,7,13
JOGBUDA,3577,86,6,50
KAILAPALAMANDAU,876,8,0,12
KOTELI,991,7,1,17
MANILEK,952,13,2,3
MASHTAMANDAU,782,17,2,8
NAWADURGA,678,9,3,5
RUPAL,899,10,3,9
SAMEJEE,477,2,1,25
SIRSHA,2137,24,5,105
TOTAL,25352,1032,177,462
