VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AWAL PARAJUL,209,539,359,36,0,1,0,0,431,0,0,0,0,0,18
BADABHAIRAB,201,316,220,0,0,0,0,1,223,0,2,0,0,1,2
BADAKHOLA,256,331,205,8,0,0,0,1,252,0,0,0,0,0,1
BADALAMJI,608,546,402,5,0,0,1,2,434,0,5,2,0,0,10
BALUWATAR,177,402,348,6,0,1,1,0,136,0,0,0,0,0,23
BANSI,440,317,162,0,0,1,0,0,254,0,1,0,0,0,28
BARAHA,147,561,470,13,0,3,0,19,320,0,3,1,0,4,11
BELPATA,28,542,498,129,72,8,1,52,377,2,14,2,0,0,0
BHAWANI,151,242,181,2,0,1,0,1,128,0,0,0,1,0,0
BINDHYABASINI,150,422,395,1,0,0,0,0,230,0,1,0,0,1,5
BISALLA,631,550,502,0,0,0,0,6,185,0,0,0,0,0,14
CHAMUNDA,940,1080,904,6,0,3,0,1,631,0,3,1,0,1,44
CHAURATHA,156,308,242,0,0,0,0,2,193,0,0,0,0,0,62
DADA PARAJUL,99,774,676,82,13,7,2,57,512,0,7,2,0,21,128
DULLU,349,487,433,38,22,21,7,4,353,0,11,10,5,5,14
GAMAUDI,223,442,228,2,10,1,0,0,344,0,0,0,0,0,3
GAURI,210,331,230,11,1,1,0,3,200,0,0,0,0,0,4
GOGANPANI,162,485,391,10,5,2,0,6,364,0,1,0,0,0,10
JAGANATH,156,327,285,1,0,0,0,3,136,0,0,0,0,0,21
JAMBUKANDH,568,622,563,5,0,1,0,4,260,0,3,0,0,0,5
KAL BHAIRAB,243,624,529,43,33,8,1,3,482,0,1,2,0,0,12
KALIKA,128,288,271,1,0,0,0,1,37,0,0,0,0,0,0
KASIKANDH,303,481,429,2,2,1,0,2,199,0,0,0,0,0,25
KATTI,265,654,534,4,0,1,0,1,350,0,1,0,0,0,0
KHADGABADA,436,528,459,3,0,0,0,6,292,0,2,2,0,0,23
KHARIGAIRA,193,531,338,3,6,2,0,3,393,0,0,0,0,0,102
KUSAPANI,362,602,520,3,3,5,2,7,431,0,1,0,0,0,4
LAKANDRA,584,441,358,1,0,1,0,0,238,0,4,1,0,0,24
LANKURI,143,559,508,15,1,4,1,0,409,0,1,1,0,0,5
LALIKANDA,143,622,537,6,2,2,0,2,395,1,1,3,0,0,5
LAYATI BINDRASAINI,580,773,656,2,0,1,0,8,297,0,0,1,1,0,22
BHAIRI KALIKATHUM,563,489,331,0,3,0,0,3,372,0,1,1,0,1,2
MALIKA,419,573,434,7,1,1,0,5,340,1,0,0,0,0,69
MEHELTOLI,124,292,253,5,0,0,0,6,127,1,0,0,0,1,43
NARAYAN MUNICIPALITY,1013,3526,2575,820,639,172,86,276,2771,16,115,34,11,121,139
NAULE KATUWAL,322,489,385,1,0,0,0,3,271,0,2,0,0,0,24
NEPA,458,508,402,6,0,1,0,2,290,0,1,1,0,0,49
NAUMULE,107,224,183,0,0,2,0,1,119,0,0,0,0,0,3
DWARI,151,320,274,7,0,4,0,0,126,0,0,0,0,0,7
PADUKASTHAN,590,468,369,5,0,1,0,0,278,0,3,0,0,0,7
PAGNATH,218,283,245,6,0,0,0,7,136,0,1,1,0,1,4
PILADI,158,343,311,14,0,0,0,0,168,0,0,0,0,0,3
PIPALKOT,198,341,281,6,0,0,4,0,188,0,2,0,0,0,5
CHHIUDI PUSAKOT,349,475,355,3,0,1,0,5,320,1,5,5,0,0,108
RAKAM KARNALI,159,394,302,22,3,1,1,13,298,0,4,2,0,2,3
RANIBAN,358,387,336,2,0,1,0,2,182,0,0,0,0,1,2
RAWATKOT,381,654,425,2,0,2,0,0,494,0,1,1,2,0,10
RUMA,151,293,214,18,0,0,0,19,205,0,2,0,0,1,9
SALLERI,244,438,365,3,0,1,0,9,262,0,0,0,0,0,7
SATTALA,404,471,313,1,0,0,0,11,309,0,0,3,0,0,20
SERI,129,330,263,14,1,0,0,4,225,0,4,1,2,1,0
SIGAUDI,562,537,368,4,1,1,1,1,395,0,3,6,0,1,5
SINHASAIN,551,631,520,1,0,1,0,6,326,0,0,1,0,0,11
TILEPATA,368,467,367,1,0,0,0,2,246,0,0,0,0,0,136
TOLI,247,377,308,1,24,3,0,11,239,0,2,0,0,1,39
TOLIJAISI,577,468,329,1,0,2,3,4,305,0,5,0,0,0,38
