VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AWAL PARAJUL,757,6,0,3
BADABHAIRAB,505,2,0,12
BADAKHOLA,579,3,0,6
BADALAMJI,1143,13,0,8
BALUWATAR,595,5,0,2
BANSI,775,0,0,10
BARAHA,702,13,0,4
BELPATA,474,95,1,0
BHAWANI,383,3,0,7
BINDHYABASINI,556,17,4,0
BISALLA,1178,9,1,7
CHAMUNDA,2036,24,0,4
CHAURATHA,510,5,1,10
DADA PARAJUL,949,42,3,7
DULLU,791,44,1,14
GAMAUDI,650,9,0,9
GAURI,537,2,0,6
GOGANPANI,643,12,1,1
JAGANATH,495,4,0,5
JAMBUKANDH,1184,7,0,4
KAL BHAIRAB,877,0,0,2
KALIKA,409,6,0,1
KASIKANDH,795,3,0,11
KATTI,913,3,0,3
KHADGABADA,938,36,1,12
KHARIGAIRA,814,5,1,6
KUSAPANI,936,28,0,4
LAKANDRA,1034,15,0,0
LANKURI,693,12,0,2
LALIKANDA,755,10,0,5
LAYATI BINDRASAINI,1352,22,0,1
BHAIRI KALIKATHUM,1011,26,0,17
MALIKA,1041,12,0,8
MEHELTOLI,453,6,0,0
NARAYAN MUNICIPALITY,3892,673,60,53
NAULE KATUWAL,825,9,0,1
NEPA,1002,8,0,5
NAUMULE,324,10,0,0
DWARI,463,13,1,1
PADUKASTHAN,1058,5,0,2
PAGNATH,459,41,1,4
PILADI,503,1,0,0
PIPALKOT,518,17,0,9
CHHIUDI PUSAKOT,919,11,1,1
RAKAM KARNALI,500,55,0,1
RANIBAN,718,23,1,5
RAWATKOT,1031,6,1,7
RUMA,417,34,0,2
SALLERI,681,5,0,3
SATTALA,864,20,0,11
SERI,446,13,0,0
SIGAUDI,1046,42,0,16
SINHASAIN,1179,10,0,4
TILEPATA,963,6,0,2
TOLI,566,90,0,7
TOLIJAISI,1062,13,0,8
TOTAL,46899,1604,79,333
