VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AWAL PARAJUL,4044,1931,2113,99,67,32,21,13,8,24,10,14,1,1,0,8,6,2,2,1,1,8,5,3,6,5,1
BADABHAIRAB,2907,1362,1545,31,21,10,19,10,9,19,7,12,0,0,0,14,8,6,1,1,0,4,3,1,0,0,0
BADAKHOLA,2715,1212,1503,7,4,3,19,9,10,13,10,3,3,2,1,8,7,1,2,2,0,4,2,2,4,1,3
BADALAMJI,6080,2933,3147,133,73,60,35,20,15,25,10,15,10,4,6,21,15,6,10,5,5,5,3,2,6,4,2
BALUWATAR,3454,1696,1758,30,16,14,11,9,2,10,6,4,0,0,0,4,0,4,6,3,3,0,0,0,9,6,3
BANSI,3942,1776,2166,24,12,12,3,1,2,12,6,6,1,0,1,16,12,4,1,1,0,1,0,1,5,5,0
BARAHA,3746,1819,1927,37,23,14,18,7,11,23,12,11,1,1,0,14,7,7,8,5,3,0,0,0,16,9,7
BELPATA,2697,1292,1405,6,3,3,3,1,2,4,0,4,2,2,0,5,3,2,1,0,1,3,2,1,0,0,0
BHAWANI,2171,1070,1101,10,4,6,4,2,2,4,0,4,0,0,0,6,3,3,1,0,1,0,0,0,1,0,1
BINDHYABASINI,2860,1290,1570,37,22,15,19,15,4,17,10,7,0,0,0,6,4,2,1,0,1,1,1,0,4,1,3
BISALLA,6247,3036,3211,196,114,82,92,49,43,90,51,39,9,5,4,32,21,11,16,7,9,5,3,2,20,12,8
CHAMUNDA,11494,5714,5780,116,68,48,55,29,26,40,29,11,12,7,5,27,18,9,17,11,6,2,1,1,20,12,8
CHAURATHA,2759,1265,1494,16,8,8,32,12,20,24,16,8,3,3,0,16,8,8,0,0,0,3,1,2,16,3,13
DADA PARAJUL,4912,2235,2677,91,55,36,45,27,18,21,10,11,1,0,1,15,12,3,7,3,4,1,1,0,16,9,7
