VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AWAL PARAJUL,184,6,548,1,9,3,0,15
BADABHAIRAB,8,16,490,1,0,1,0,3
BADAKHOLA,147,59,373,1,1,6,0,1
BADALAMJI,252,29,622,9,0,178,63,11
BALUWATAR,428,21,139,0,0,0,0,14
BANSI,103,19,605,1,0,33,11,13
BARAHA,348,112,196,15,6,35,0,7
BELPATA,104,82,254,64,2,60,0,4
BHAWANI,159,7,225,0,0,1,0,1
BINDHYABASINI,103,7,439,0,0,9,0,19
BISALLA,65,3,1094,1,10,7,9,6
CHAMUNDA,282,42,1508,1,0,210,2,19
CHAURATHA,155,8,353,0,0,0,0,10
DADA PARAJUL,285,46,590,55,0,19,0,6
DULLU,327,289,140,11,2,8,68,5
GAMAUDI,243,197,186,0,2,33,0,7
GAURI,137,38,297,1,0,41,25,6
GOGANPANI,436,71,89,1,0,56,2,2
JAGANATH,1,3,497,0,0,0,0,3
JAMBUKANDH,154,12,856,0,0,171,0,2
KAL BHAIRAB,223,84,443,4,3,78,33,11
KALIKA,193,6,216,0,0,0,0,1
KASIKANDH,24,5,772,1,0,3,0,4
KATTI,140,4,760,0,1,4,0,10
KHADGABADA,453,194,194,23,3,110,1,9
KHARIGAIRA,212,32,573,1,0,3,0,5
KUSAPANI,37,13,898,3,0,7,3,7
LAKANDRA,175,19,750,0,0,89,6,10
LANKURI,56,5,630,1,0,10,0,5
LALIKANDA,409,96,251,0,0,9,2,3
LAYATI BINDRASAINI,273,164,653,1,6,175,96,7
BHAIRI KALIKATHUM,45,8,770,3,0,209,7,12
MALIKA,584,93,237,6,1,127,5,8
MEHELTOLI,1,2,451,0,1,1,0,3
NARAYAN MUNICIPALITY,1303,1183,1364,649,3,98,24,54
NAULE KATUWAL,474,208,111,4,0,32,0,6
NEPA,714,127,136,3,0,35,0,0
NAUMULE,230,36,64,3,0,0,0,1
DWARI,260,7,154,0,0,0,50,7
PADUKASTHAN,582,104,188,1,0,169,20,1
PAGNATH,62,57,375,8,0,0,1,2
PILADI,230,17,235,0,0,18,0,4
PIPALKOT,135,6,336,1,0,58,2,6
CHHIUDI PUSAKOT,428,176,240,0,1,65,0,22
RAKAM KARNALI,21,44,401,6,0,79,1,4
RANIBAN,71,14,636,3,4,7,0,12
RAWATKOT,297,87,597,3,0,45,11,5
RUMA,48,14,384,6,0,1,0,0
SALLERI,165,4,514,1,0,0,0,5
SATTALA,423,52,378,7,0,16,14,5
SERI,340,92,10,3,0,8,6,0
SIGAUDI,304,80,622,18,4,68,1,7
SINHASAIN,238,11,873,0,0,60,1,10
TILEPATA,296,6,477,3,1,180,0,8
TOLI,252,51,330,25,1,0,0,4
TOLIJAISI,464,6,431,7,9,132,4,30
TOTAL,14083,4174,25955,956,70,2767,468,442
