VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BAGHMARE,1469,1,0,65,18,34,0,8
BELA,47,1001,35,589,18,310,52,3
BIJAURI,2042,22,222,332,125,185,17,37
CHAULAHI,1225,1397,963,556,16,15,104,15
DHANAURI,139,117,270,885,265,102,153,2
DHARNA,13,106,760,440,31,66,136,10
DHIKPUR,16,233,297,1654,105,31,49,3
DURUWA,196,545,506,1232,146,61,40,9
GADHAWA,501,1420,39,153,3,46,5,9
GANGAPRASPUR,349,1454,59,126,25,11,5,2
GOBARDIYA,1006,572,86,1094,18,51,18,28
GOLTAKURI,49,161,87,373,239,181,27,2
HALWAR,1381,150,237,82,153,176,0,8
HANSIPUR,429,1,30,792,112,96,16,11
HAPUR,2034,6,147,48,121,598,23,9
HEKULI,91,103,301,1222,81,6,0,13
KABHRE,873,1,46,286,179,85,2,1
KOILABAS,15,0,0,104,7,61,0,0
LALMATIYA,1904,1386,436,625,26,10,17,71
LAXMIPUR,1288,1,641,638,108,189,61,6
LOHARPANI,755,0,7,204,128,10,4,8
MANPUR,414,210,1260,886,215,19,62,22
NARAYANPUR,752,15,822,1642,103,124,102,17
PANCHAKULE,1291,2,156,113,132,119,0,9
PAWAN NAGAR,1608,12,9,196,53,17,2,1
PHULBARI,66,240,132,582,6,121,67,13
PURANDHARA,3063,31,50,66,522,374,1,16
RAJPUR,111,890,10,523,109,728,31,16
RAMPUR,1668,3,250,328,150,259,37,3
SAIDHA,739,0,0,122,372,95,2,8
SATBARIYA,175,809,177,1268,61,2,4,5
SAUDIYAR,18,116,1013,1157,71,10,64,4
SHANTINAGAR,1682,0,4,28,72,12,0,2
SHREEGAUN,255,19,52,1000,116,3,74,0
SISAHANIYA,342,2711,12,63,71,31,24,5
SONPUR,19,1866,195,298,140,19,74,29
SYUJA,876,0,2,58,24,13,0,2
TARIGAUN,657,33,486,1066,13,1,38,5
GHORAHI MUNICIPALITY,9486,334,2301,2161,271,378,484,70
TULSIPUR MUNICIPALITY,8324,171,2055,621,581,218,181,63
URAHARI,202,602,665,737,330,1,66,10
TOTAL,47570,16741,14820,24415,5336,4868,2042,555
