VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BAGHMARE,455,1116,840,157,0,8,0,5,802,1,8,21,0,3,24
BELA,383,1665,1065,304,0,19,1,10,1260,5,47,798,2,7,7
BIJAURI,457,2492,1695,1027,257,62,15,88,2079,19,186,653,12,43,33
CHAULAHI,160,4083,2240,1199,1407,327,72,274,3216,112,479,2643,96,416,48
DHANAURI,296,1599,1088,452,87,19,1,16,1250,7,22,277,4,8,38
DHARNA,196,1352,763,451,1,6,0,5,1096,0,29,334,1,5,14
DHIKPUR,197,2167,1505,718,30,30,3,18,1927,11,88,950,5,7,24
DURUWA,406,2260,1625,550,15,16,1,23,1851,1,57,557,2,1,69
GADHAWA,230,1877,1177,584,177,38,10,17,1453,15,117,1109,1,21,69
GANGAPRASPUR,291,1718,1017,534,49,20,3,19,1174,18,103,1189,2,15,22
GOBARDIYA,401,2446,1613,637,47,23,4,7,1833,6,91,1221,10,40,26
GOLTAKURI,131,982,665,214,11,9,0,0,837,0,9,96,0,2,6
HALWAR,202,1945,1404,862,12,32,10,60,1695,11,75,210,2,9,40
HANSIPUR,343,1101,898,2,0,0,0,2,673,1,2,1,0,2,43
HAPUR,472,2484,1722,1006,21,21,2,13,2047,1,74,385,3,17,30
HEKULI,165,1562,1108,303,18,9,0,6,1133,7,33,531,1,0,90
KABHRE,325,1126,927,49,7,2,1,1,779,4,11,1,1,1,22
KOILABAS,39,146,86,52,0,0,0,0,87,0,13,42,0,13,2
LALMATIYA,314,3962,2321,819,1120,161,28,245,3356,29,269,1801,35,339,199
LAXMIPUR,284,2605,1788,1101,145,65,11,31,2175,19,204,888,14,14,43
LOHARPANI,237,853,699,28,6,8,2,2,585,1,6,6,0,3,26
MANPUR,246,2794,1924,1261,235,60,18,66,2316,16,186,1279,5,43,48
NARAYANPUR,296,3217,1603,1027,642,147,26,137,2733,30,232,1263,15,85,64
PANCHAKULE,201,1578,1243,364,52,17,1,11,1060,5,18,157,1,9,43
PAWAN NAGAR,173,1666,1104,413,70,19,1,21,1311,3,48,372,6,7,59
PHULBARI,183,1029,789,192,13,4,1,3,859,1,13,157,1,4,15
PURANDHARA,809,3107,2430,455,93,31,139,30,2138,11,52,172,11,4,207
RAJPUR,534,1836,1183,187,3,5,1,2,1370,11,13,661,3,1,48
RAMPUR,507,2105,1282,603,68,19,0,7,1738,16,69,474,4,15,86
SAIDHA,284,1007,878,31,4,3,1,7,586,0,2,41,0,0,47
SATBARIYA,289,2196,1457,469,36,29,0,24,1645,16,74,1267,0,9,16
SAUDIYAR,140,2272,1716,1033,50,64,6,7,1992,26,151,1515,5,10,41
SHANTINAGAR,255,1497,856,524,120,12,3,12,1159,2,21,114,5,2,48
SHREEGAUN,230,1269,932,207,93,9,4,13,918,7,32,267,2,8,20
SISAHANIYA,211,3020,2122,873,351,112,11,55,2244,31,135,2117,10,64,28
SONPUR,179,2408,1587,565,329,89,22,88,1892,17,132,1648,31,98,53
SYUJA,147,819,673,41,1,2,1,1,608,0,2,1,0,0,9
TARIGAUN,157,2091,1307,857,92,49,13,82,1790,16,123,941,5,37,51
GHORAHI MUNICIPALITY,771,14461,7798,6053,6413,1826,442,1835,12775,301,2294,4444,71,1658,253
TULSIPUR MUNICIPALITY,896,11132,6216,4475,4040,985,275,1375,9921,150,1299,1662,73,1059,186
URAHARI,194,2356,1528,608,301,42,13,33,1959,28,125,1048,20,15,63
