VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BHAGABATI,68,261,0,229,33,3
BOHARIGAU,81,320,0,334,22,3
BRAMHADEV,13,248,0,89,1,0
BYASH,68,99,0,7,0,0
CHHAPARI,198,276,1,53,0,1
DADAKOT,71,54,0,43,197,0
DATTU,225,122,0,106,5,0
DETHALA,2,321,0,289,20,1
DHAP,182,534,0,169,7,4
DHARI,12,480,0,264,0,2
DHAULAKOT,0,229,0,235,1,4
DHULIGADA,2,275,0,206,261,3
EYARKOT,30,186,0,168,38,0
GHUSA,1,2,0,230,9,1
GOKULESWOR,246,201,0,222,18,14
GULJAR,263,25,0,285,83,1
GWANI,278,260,1,341,43,7
HIKILA,372,94,4,24,1,4
HUNAINATH,1,141,0,143,51,1
HUTI,238,189,0,37,0,0
KANTE,166,279,0,73,2,0
KHALANGA,1894,204,0,14,5,6
KHANDESWORI,1,1,0,485,33,1
KHAR,513,119,0,53,6,7
KHARKADA,0,191,0,313,70,1
LALI,160,204,0,122,66,0
LATINATH,57,233,0,410,85,2
MALIKARJUN,0,196,1,273,8,1
PIPALCHAURI,7,211,2,154,0,0
RANISIKHAR,2,278,0,125,32,1
RAPLA,139,37,0,63,0,0
RITHACHAUPATA,1,376,0,484,51,0
SANKARPUR,64,187,0,267,82,0
SERI,3,75,0,278,67,0
SHARMAULI,12,388,0,377,32,3
SIKHAR,63,159,0,305,30,2
SIPTI,620,108,0,13,6,2
SITAULA,5,80,0,375,97,0
SUNSERA,15,271,1,271,9,6
TAPOBAN,93,58,0,177,76,1
UKU,465,225,0,31,0,0
TOTAL,6631,8197,10,8137,1547,82
