VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
BHAGABATI,69,31,38,673,330,343,486,276,210,291,168,123,161,100,61,111,68,43,24,19,5,8,7,1,1,1,0,91,42,49,5,4,1
BOHARIGAU,119,54,65,1109,595,514,522,281,241,404,234,170,157,93,64,213,138,75,27,25,2,18,17,1,9,3,6,8,3,5,7,4,3
BRAMHADEV,24,12,12,470,255,215,211,135,76,109,69,40,92,53,39,43,24,19,7,5,2,6,6,0,0,0,0,0,0,0,3,1,2
BYASH,4,4,0,135,65,70,67,44,23,30,12,18,33,21,12,58,34,24,25,4,21,1,0,1,2,2,0,0,0,0,0,0,0
CHHAPARI,46,21,25,762,394,368,399,246,153,237,153,84,107,72,35,71,35,36,35,22,13,4,3,1,3,3,0,1,1,0,0,0,0
DADAKOT,22,12,10,487,272,215,267,135,132,149,80,69,114,54,60,111,63,48,22,17,5,10,10,0,0,0,0,17,5,12,2,1,1
DATTU,93,39,54,477,255,222,324,146,178,269,153,116,105,54,51,136,63,73,29,19,10,20,17,3,5,1,4,0,0,0,3,2,1
DETHALA,158,92,66,1133,590,543,426,262,164,254,153,101,142,88,54,88,54,34,60,38,22,4,4,0,4,3,1,6,0,6,4,2,2
DHAP,97,45,52,1433,690,743,683,385,298,462,267,195,184,97,87,184,100,84,49,40,9,8,6,2,3,2,1,41,16,25,3,0,3
DHARI,163,85,78,1148,593,555,549,334,215,274,205,69,140,97,43,66,34,32,16,15,1,1,1,0,2,1,1,77,32,45,11,6,5
DHAULAKOT,42,25,17,694,380,314,333,211,122,217,140,77,85,51,34,31,24,7,4,3,1,3,2,1,5,1,4,5,1,4,4,2,2
DHULIGADA,203,103,100,1634,928,706,391,280,111,130,102,28,74,55,19,59,47,12,17,15,2,2,2,0,1,0,1,68,33,35,3,2,1
EYARKOT,97,37,60,697,366,331,245,161,84,108,83,25,40,28,12,36,28,8,4,3,1,1,1,0,2,1,1,8,0,8,0,0,0
GHUSA,124,62,62,483,268,215,152,92,60,113,69,44,56,38,18,37,33,4,0,0,0,2,2,0,1,0,1,1,1,0,0,0,0
GOKULESWOR,88,51,37,918,490,428,410,245,165,271,173,98,151,90,61,241,138,103,93,64,29,33,30,3,2,0,2,33,13,20,63,30,33
GULJAR,243,121,122,1262,735,527,456,302,154,199,146,53,91,66,25,89,72,17,5,5,0,6,6,0,2,2,0,89,14,75,6,4,2
GWANI,249,121,128,1301,695,606,616,363,253,268,181,87,103,86,17,101,73,28,28,27,1,4,4,0,1,1,0,65,29,36,10,4,6
HIKILA,150,77,73,689,379,310,342,217,125,185,147,38,93,61,32,62,42,20,30,23,7,2,2,0,0,0,0,38,17,21,1,0,1
HUNAINATH,62,35,27,414,225,189,221,125,96,156,90,66,64,42,22,62,40,22,7,6,1,6,4,2,0,0,0,66,24,42,3,2,1
HUTI,59,31,28,780,408,372,294,151,143,163,100,63,186,109,77,67,37,30,31,27,4,10,10,0,2,1,1,1,0,1,3,2,1
KANTE,12,8,4,759,399,360,411,249,162,231,149,82,142,78,64,50,30,20,17,15,2,6,6,0,2,2,0,18,0,18,19,11,8
KHALANGA,375,213,162,1905,1021,884,1214,719,495,625,342,283,876,513,363,674,356,318,342,231,111,123,94,29,8,2,6,145,67,78,21,13,8
KHANDESWORI,140,69,71,932,479,453,502,301,201,218,139,79,229,177,52,64,49,15,15,13,2,5,5,0,0,0,0,23,4,19,2,2,0
KHAR,292,135,157,1240,718,522,366,251,115,134,100,34,119,84,35,71,48,23,8,8,0,0,0,0,4,4,0,15,5,10,11,6,5
KHARKADA,61,32,29,741,391,350,399,223,176,194,102,92,205,122,83,93,65,28,36,21,15,5,5,0,2,0,2,36,20,16,2,1,1
LALI,36,20,16,632,355,277,415,208,207,241,129,112,208,116,92,134,73,61,20,17,3,27,26,1,2,2,0,63,30,33,7,3,4
LATINATH,180,93,87,1345,724,621,535,319,216,296,175,121,202,147,55,142,102,40,51,35,16,6,5,1,1,1,0,167,52,115,0,0,0
MALIKARJUN,128,70,58,586,321,265,264,139,125,120,77,43,118,79,39,40,29,11,31,15,16,1,0,1,4,4,0,31,22,9,13,9,4
PIPALCHAURI,38,12,26,534,253,281,249,132,117,213,142,71,59,34,25,72,45,27,16,15,1,0,0,0,1,0,1,0,0,0,0,0,0
RANISIKHAR,80,46,34,850,435,415,250,137,113,109,70,39,50,37,13,31,20,11,7,6,1,5,5,0,1,1,0,3,2,1,4,1,3
RAPLA,95,44,51,305,157,148,131,69,62,65,39,26,51,39,12,21,15,6,13,5,8,1,1,0,0,0,0,6,4,2,7,5,2
RITHACHAUPATA,214,107,107,1254,634,620,563,312,251,295,179,116,224,131,93,171,106,65,34,27,7,7,7,0,8,3,5,115,28,87,3,2,1
SANKARPUR,88,47,41,782,410,372,412,241,171,226,134,92,208,121,87,109,58,51,38,25,13,21,18,3,4,4,0,54,9,45,6,2,4
SERI,39,31,8,740,404,336,281,163,118,149,102,47,49,40,9,50,28,22,13,12,1,2,2,0,0,0,0,40,18,22,4,1,3
