VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AGINCHOK,3257,1379,1878,1913,944,969,185,88,97,1159,347,812,0,0,0,58.73503223825607,68.45540246555476,51.597444089456864
BAIRENI,12220,6050,6170,8152,4459,3693,247,129,118,3815,1459,2356,6,3,3,66.71031096563011,73.70247933884298,59.85413290113453
BASERI,3337,1427,1910,2132,1098,1034,62,18,44,1143,311,832,0,0,0,63.889721306562784,76.94463910301332,54.13612565445026
BENIGHAT,8812,4393,4419,6347,3464,2883,139,68,71,2326,861,1465,0,0,0,72.02678166137085,78.85272023674027,65.24100475220638
BHUMESTHAN,9759,4785,4974,5991,3298,2693,404,212,192,3357,1271,2086,7,4,3,61.38948662772825,68.92371995820271,54.141535987133096
BUDHATHUM,3422,1385,2037,2386,1135,1251,37,13,24,999,237,762,0,0,0,69.72530683810638,81.94945848375451,61.413843888070694
CHAINPUR,5790,2456,3334,3796,1815,1981,74,40,34,1910,597,1313,10,4,6,65.56131260794473,73.90065146579805,59.41811637672465
CHHATREDEURALI,7127,3371,3756,4655,2518,2137,79,42,37,2393,811,1582,0,0,0,65.31499929844254,74.69593592405815,56.895633652822156
DARKHA,4769,2174,2595,3161,1589,1572,113,45,68,1494,540,954,1,0,1,66.28223946319983,73.09107635694572,60.578034682080926
DHOLA,3648,1590,2058,2308,1150,1158,81,39,42,1258,401,857,1,0,1,63.26754385964912,72.32704402515722,56.268221574344025
DHUSSA,6345,3126,3219,3791,2046,1745,214,112,102,2328,962,1366,12,6,6,59.7478329393223,65.4510556621881,54.2093817955887
