VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AHALE,877,10,0,0
ANKHISALLA,1182,36,1,9
ARKHAULE JITPUR,847,49,2,36
BASANTATAR,614,22,3,9
BELHARA,1161,73,40,7
BHIRGAUN,947,13,2,13
BODHE,664,2,1,24
CHHA NAMBAR BUDHABARE,384,59,2,1
BUDI MORANG,783,40,3,21
CHANUWA,807,15,3,6
CHHINTANG,1792,24,3,3
CHUNGWANG,911,40,2,5
DANDA BAZAR,546,89,10,19
DANDAGAUN,436,11,0,3
DHANKUTA MUNICIPALITY,4052,2661,322,169
FAKSIB,366,7,1,6
FALATE,553,17,0,12
GHORLIKHARKA,571,15,2,13
HATHIKHARKA,1091,14,4,23
KHOKU,815,7,0,4
KHUWAPHOK,614,19,5,6
KURULE TENUPA,842,9,1,22
LEGUWA,952,115,4,10
MAHABHARAT,895,23,0,25
MAREK KATAHARE,1259,47,1,27
MAUNABUDHUK,535,34,7,8
MUDHEBAS,618,30,0,4
MUGA,831,15,2,21
MURTIDHUNGA,799,22,1,30
PAKHRIBAS,846,228,51,11
PAREWADIN,1289,284,16,22
RAJA RANI,569,56,4,18
SANNE,808,10,1,12
TANKHUWA,858,110,3,28
TELIA,432,12,0,46
VEDETAR,570,80,9,23
TOTAL,32116,4298,506,696
