VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ANDUPATTI,845,805,566,403,228,363,51,39
AURAHI,1198,1149,635,518,517,578,46,53
BAFAI,600,676,410,358,149,283,41,35
BAGHCHAURA,1321,1393,716,599,535,734,70,60
BAHEDA BELA,1771,1512,879,648,820,813,72,51
BAHUARBA,1136,1197,599,472,496,695,41,30
BALABAKHAR,1808,1759,940,697,847,1050,21,12
BALAHA KATHAL,747,791,432,347,268,400,47,44
BALAHA SADHARA,909,944,411,296,497,647,1,1
BALLAGOTH,1034,1013,462,326,553,668,19,19
BANINIYA,735,873,448,397,251,449,36,27
BARAMAJHIYA,1396,1459,874,755,496,684,26,20
BASAHIYA,1731,1675,908,715,614,741,209,219
BASBITTI,637,732,412,329,197,365,28,38
BATESWOR,1401,1315,951,823,335,383,115,109
BEGA SHIVAPUR,1447,1532,1037,848,376,627,34,57
BEGADAWAR,2293,2165,1615,1426,567,648,111,91
BHARATPUR,3500,3697,2127,1805,1190,1641,183,251
BHUCHAKRAPUR,1090,1135,744,662,308,401,38,72
BHUTAHIPATERWA,1075,1160,570,473,495,680,10,7
BINDHI,1525,1592,941,705,536,811,48,76
BISARMORA,1004,1097,754,608,198,418,52,71
CHAKKAR,1513,1379,778,634,587,571,148,174
CHORA KOILPUR,1036,1104,532,415,448,649,56,40
DHANUSHA GOVINDAPUR,1995,2146,1031,817,718,1011,246,318
DEBADIHA,1453,1282,807,613,638,664,8,5
DEURI PARBAHA,926,1035,537,427,385,602,4,6
DEVPURA RUPETHA,1781,1831,951,768,649,888,181,175
DHABOULI,1518,1601,970,851,540,747,8,3
DHALKEBAR,2325,2547,1543,1527,715,913,67,107
DHANAUJI,2035,1911,984,785,980,1020,71,106
DHANUSADHAM,1887,2216,1101,1046,744,1119,42,51
DIGAMBARPUR,2168,2130,1192,1002,823,958,153,170
DUBARIKOT HATHILETWA,1477,1627,1050,884,343,599,84,144
DUHABI,1659,1606,679,533,854,974,126,99
EKARAHI,940,1075,633,516,274,481,33,78
FULGAMA,2792,2720,1508,1126,1153,1400,131,194
GHODGHANS,1136,1210,677,554,454,650,5,6
GODAR,1604,1793,1019,1013,475,629,110,151
GOPALPUR,1073,1170,733,616,318,502,22,52
GOTH KOHELPUR,856,845,369,323,477,514,10,8
HANSAPUR KATHPULA,1125,1277,652,538,317,507,156,232
HARIHARPUR,2209,2152,1321,1141,864,988,24,23
HARINE,1064,1107,638,518,374,485,52,104
HATHIPURHARBARA,841,995,607,593,226,390,8,12
INARWA,765,757,394,301,307,403,64,53
ITAHARWA,1177,1191,371,335,742,801,64,55
JANAKPUR MUNICIPALITY,19278,17641,13696,11105,4734,5661,848,875
JHATIYAHI,1120,1255,554,502,548,742,18,11
JHOJI KATAIYA,1007,1044,493,416,328,427,186,201
KACHURI THERA,1313,1378,904,767,327,513,82,98
KAJARA RAMAUL,1153,1273,695,566,311,532,147,175
KANAKPATTI,1231,1214,574,488,385,437,272,289
KHAJURI CHANHA,1308,1458,822,706,469,743,17,9
KHARIYANI,2321,2479,1002,884,1252,1483,67,112
KURTHA,1932,1682,855,651,1015,971,62,60
LABATOLI,1113,1107,655,582,155,137,303,388
LAGMAGADHAGUTHI,1157,1150,792,629,307,413,58,108
LAKHOURI,718,703,371,285,291,375,56,43
LAKKAD,977,853,391,248,547,566,39,39
LAXMINIWAS,819,780,429,402,330,326,60,52
LAXMIPURBAGEWA,1604,1537,1126,845,321,462,157,230
LOHANA,1562,1601,686,547,685,760,191,294
MAHUWA (PRA. KHE.),1134,1139,506,365,520,638,108,136
