VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ANDUPATTI,54,8,517,47,24,0,2,9
AURAHI,124,7,644,168,5,0,0,13
BAFAI,43,3,312,158,22,0,2,11
BAGHCHAURA,232,5,653,142,10,0,0,27
BAHEDA BELA,30,15,966,72,13,0,1,34
BAHUARBA,91,8,543,229,1,0,1,10
BALABAKHAR,356,14,893,94,9,0,0,21
BALAHA KATHAL,126,36,348,93,24,0,0,26
BALAHA SADHARA,138,51,391,100,3,0,4,11
BALLAGOTH,139,48,336,105,21,0,2,22
BANINIYA,5,10,576,76,22,0,0,4
BARAMAJHIYA,182,11,901,62,4,0,2,10
BASAHIYA,127,22,811,235,3,0,0,15
BASBITTI,50,7,399,73,5,0,0,2
BATESWOR,117,146,806,42,8,0,0,32
BEGA SHIVAPUR,66,21,759,509,20,0,3,25
BEGADAWAR,52,61,1948,177,4,0,2,37
BHARATPUR,458,90,2195,135,47,0,0,96
BHUCHAKRAPUR,28,5,859,20,12,0,0,18
BHUTAHIPATERWA,253,1,573,60,0,0,1,7
BINDHI,108,21,736,310,5,0,4,8
BISARMORA,305,16,488,81,27,0,0,11
CHAKKAR,230,11,565,235,7,0,0,30
CHORA KOILPUR,298,3,451,81,4,0,1,16
DHANUSHA GOVINDAPUR,378,21,1177,54,6,0,0,21
DEBADIHA,283,20,779,73,2,0,1,56
DEURI PARBAHA,162,11,493,151,7,0,0,12
DEVPURA RUPETHA,216,14,868,301,2,0,3,30
DHABOULI,255,25,801,165,27,0,0,44
DHALKEBAR,57,21,1728,169,22,0,1,24
DHANAUJI,362,17,808,288,5,0,0,35
DHANUSADHAM,334,33,1011,72,118,0,3,65
DIGAMBARPUR,87,8,1547,44,17,0,1,25
DUBARIKOT HATHILETWA,352,24,785,87,7,0,0,35
DUHABI,304,32,521,258,24,0,1,160
EKARAHI,173,35,511,132,49,0,3,3
FULGAMA,416,13,1388,346,20,0,1,9
GHODGHANS,84,54,793,181,3,0,1,6
GODAR,376,27,1094,77,3,0,12,20
GOPALPUR,90,41,732,129,5,0,3,17
GOTH KOHELPUR,306,23,265,51,6,0,0,73
HANSAPUR KATHPULA,105,8,643,98,9,0,2,13
HARIHARPUR,46,8,1382,96,2,0,1,27
HARINE,194,12,650,44,2,0,1,36
HATHIPURHARBARA,216,7,430,88,4,0,0,9
INARWA,263,11,313,30,2,0,1,13
ITAHARWA,363,23,323,112,1,0,2,14
JANAKPUR MUNICIPALITY,913,742,4666,12208,105,0,24,525
JHATIYAHI,324,17,572,118,1,0,0,36
JHOJI KATAIYA,229,5,334,118,14,0,2,39
KACHURI THERA,86,7,766,171,22,0,0,11
KAJARA RAMAUL,91,22,690,129,5,0,0,16
KANAKPATTI,97,21,618,197,24,0,1,8
KHAJURI CHANHA,155,41,666,193,1,0,1,6
KHARIYANI,391,8,1179,203,6,0,5,45
KURTHA,58,13,944,298,21,0,0,16
LABATOLI,87,8,752,44,0,0,1,16
LAGMAGADHAGUTHI,150,8,502,249,4,0,1,10
LAKHOURI,181,19,248,71,21,0,3,35
LAKKAD,279,19,389,40,2,0,0,19
LAXMINIWAS,15,10,528,24,5,0,1,20
LAXMIPURBAGEWA,47,22,823,253,78,0,1,9
LOHANA,416,45,391,237,3,0,1,89
MAHUWA (PRA. KHE.),127,29,551,83,14,0,0,9
MAHUWA (PRA. KO.),155,8,601,263,17,0,1,11
MAKHANAHA,480,41,751,115,2,0,0,36
MANSHINGPATTI,77,11,537,154,4,0,0,21
MACHIJHITKAIYA,361,23,1107,177,23,0,0,47
MITHILESHWOR MAUWAHI,155,9,449,104,2,0,0,19
MITHILESHWOR NIKAS,428,32,515,111,43,0,0,83
MUKHIYAPATTI MUSAHARNIYA,176,19,820,87,15,0,0,26
NAGARAEEN,274,10,515,179,6,0,0,41
NAKATAJHIJH,66,25,1223,118,2,0,0,30
NANUPATTI,123,1,455,79,6,0,1,12
NAUWAKHOR PRASHAHI,142,10,322,217,85,0,0,66
PACHAHARWA,108,9,425,60,45,0,0,9
PATANUKA,36,28,353,167,1,0,0,41
PATERWA,248,6,423,114,2,0,0,36
PAUDESWOR,74,16,860,170,0,0,2,6
PUSPALPUR,84,11,416,8,0,0,2,3
RAGHUNATHPUR,649,42,1785,198,28,0,0,30
RAMADAIYA BHAWADI,87,7,924,94,58,0,0,19
SABELA,163,20,1015,395,8,0,0,17
SAKHUWA MAHENDRANAGAR,283,34,2077,991,2,0,1,57
SAPAHI,57,56,1126,213,17,0,1,42
SATOSAR,136,21,650,154,2,0,7,116
SHANTIPUR,112,9,816,13,13,0,1,11
GIDDHA,161,19,554,158,5,0,0,30
SINGYAHI MAIDAN,266,41,1209,52,11,0,1,6
SINURJODA,157,40,1046,266,7,0,0,41
SONIGAMA,256,21,835,121,7,0,0,3
SUGA MADHUKARAHI,145,32,422,126,23,0,0,19
SUGA NIKASH,94,2,534,94,2,0,0,6
TARAPATTI SIRSIYA,148,19,952,183,10,0,1,74
THADI JHIJA,286,61,579,233,5,0,1,130
THILLA YADUWA,84,7,340,169,69,0,0,32
TULSI CHAUDA,95,57,832,9,15,0,0,16
TULSIYAHI NIKAS,241,11,385,151,2,0,1,3
TULSIYANI JABDI,226,42,450,215,8,0,0,8
UMAPREMPUR,254,21,1707,113,28,0,2,49
YADUKUSH,168,31,585,349,5,0,1,6
YAGYABHUMI,407,80,2337,167,106,0,1,38
TOTAL,20142,3076,82263,27573,1653,0,127,3391
