VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ALAMPU,287,0,4,74,41,6,0,1
BABARE,703,0,4,17,55,12,1,2
BHEDAPU,596,0,2,14,277,16,8,5
BHIMESHWOR MUNICIPALITY,5247,0,3,54,724,12,21,15
BHIRKOT,551,0,1,15,30,2,0,3
BHUSAFEDA,394,0,0,35,84,3,0,3
BIGU,363,0,1,4,28,6,0,4
BOCHA,762,0,0,1,5,2,0,5
BULUNG,441,0,0,51,15,0,2,1
CHANKHU,341,0,0,0,3,0,0,3
CHHETRAPA,245,0,0,2,333,0,0,0
CHILANKHA,568,0,3,25,53,7,4,1
CHYAMA,90,0,27,3,483,2,0,2
DANDAKHARKA,678,0,8,186,68,2,1,3
TAMCHET DUDHPOKHARI,474,0,0,35,68,16,2,1
FASKU,843,0,5,25,225,16,0,3
GAIRIMUDI,895,0,2,67,155,9,0,1
GAURI SANKAR,249,0,1,1,4,30,0,2
GHYANG SUKATHOKAR,741,0,2,73,207,3,0,6
HAWA,222,0,0,27,131,1,0,0
JAPHE,581,0,0,40,197,6,0,0
JHULE,209,0,0,0,334,0,0,4
JHYAKU,818,0,7,50,87,30,0,6
JIRI,1582,0,30,13,249,6,14,5
JUNGU,764,0,6,41,110,13,0,4
KABHRE,871,0,5,7,241,51,12,4
KALINCHOWK,397,0,2,14,104,21,0,3
KATAKUTI,749,0,2,101,96,4,0,3
KHARE,350,0,4,32,38,4,0,4
KHOPACHAGU,375,0,2,2,93,0,0,4
LADUK,799,0,12,15,82,15,1,4
LAKURIDANDA,744,0,0,12,123,18,27,0
LAMABAGAR,428,0,1,3,73,30,0,1
LAMIDANDA,875,0,0,25,129,15,0,1
LAPILANG,879,0,12,17,235,62,0,1
MAGAPAUWA,707,0,0,16,43,13,0,1
MALI,432,0,3,4,251,2,1,0
MALU,237,0,0,2,344,0,0,1
MARBU,324,0,0,0,4,0,0,3
MELUNG,702,0,6,16,84,23,4,1
MIRGE,743,0,0,23,112,1,0,0
NAMDU,965,0,2,10,314,6,1,2
ORANG,408,0,2,12,56,9,1,0
PAWATI,670,0,16,132,281,5,1,4
SAHARE,671,0,11,33,83,0,2,0
SAILUNGESWOR,773,0,1,24,159,29,1,4
SUNKHANI,1077,0,0,8,101,3,0,5
SUNDRAWATI,512,0,2,29,128,3,1,2
SURI,693,0,2,3,29,2,1,4
SUSPA KSHYAMAWATI,796,0,1,0,57,6,2,2
SYAMA,243,0,1,17,164,12,1,2
THULOPATAL,483,0,1,85,250,3,0,0
TOTAL,35547,0,194,1495,7640,537,109,136
