VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BANJA KAKANI,792,1,0,0,1,0,0,4
BANLEK,1027,1,5,1,2,0,1,0
BARCHHEN,939,0,4,2,1,0,0,4
BASUDEVI,699,0,0,1,0,0,1,5
BHUMIRAJMADAU,902,0,2,0,0,0,2,5
CHAWARA CHAUTARA,517,3,0,1,3,0,1,1
CHHAPALI,612,0,0,0,1,0,0,10
CHHATIWAN,710,0,26,2,2,0,0,2
DAHAKALIKASTHAN,436,1,1,1,1,0,0,7
DAUD,1166,0,0,1,1,0,0,5
DHANGLAGAU,672,0,0,0,2,0,0,1
DHIRKAMANDAU,322,0,0,0,0,0,0,2
DIPAYAL SILGADHI MUNICIPALITY,4211,140,1056,6,7,6,49,18
DURGAMADAU,856,2,0,0,0,0,0,0
GADASERA,533,1,0,0,0,0,0,4
GAGUDA,578,2,0,0,0,0,0,4
GAIHRAGAU,724,0,0,0,1,0,0,0
GANJARI,495,0,0,0,0,0,0,9
GHANTESWOR,495,3,4,2,2,0,0,1
GIRICHAUKA,778,0,0,2,1,0,0,3
JIJODAMANDAU,390,2,0,0,0,0,0,1
KADAMADAUN,854,3,1,0,0,0,0,2
KALENA,535,4,0,0,0,0,0,3
KALIKASTHAN,1056,3,1,1,0,0,0,6
KANACHAUR,373,0,0,0,0,0,0,1
KAPALLEKI,747,2,0,1,2,0,0,1
KEDAR AKHADA,288,1,0,0,0,0,0,3
KHATIWADA,1195,6,0,2,0,0,1,3
KHIRSAIN,620,1,5,0,0,0,0,4
LADAGADA,861,2,1,0,3,0,0,4
LAMIKHAL,850,0,0,0,0,0,0,3
LANA KEDARESWOR,566,0,0,0,0,0,0,0
LATAMANDAU,1089,3,9,0,0,0,2,1
LAXMI NAGAR,899,2,1,6,2,0,1,0
MAHADEVSTHAN,788,0,0,1,2,0,0,7
MANNAKAPADI,528,0,0,0,0,0,0,0
MUDABHARA,963,3,2,0,0,0,0,2
MUDHEGAU,460,1,1,0,0,0,0,0
NIRAULI,528,0,0,0,0,0,0,0
PACHANALI,638,1,3,0,3,0,0,2
POKHARI,864,0,0,0,0,0,0,8
RANAGAU,588,1,2,0,0,0,0,5
SANAGAU,542,9,6,0,0,0,0,1
SARASWOTINAGAR,580,0,0,0,0,0,1,1
SATPHARI,515,0,0,0,0,0,0,1
SIMCHAUR,513,0,0,0,0,0,0,1
TIJALI,438,1,0,0,0,0,0,2
TIKHATAR,1185,1,0,0,0,0,0,2
TOLENI,1146,1,0,0,0,0,0,7
WAGALEK,827,1,0,0,1,0,0,14
WARPATA,830,4,1,3,17,0,0,3
TOTAL,39720,206,1131,33,55,6,59,173
