VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BANJA KAKANI,791,0,0,0,0,7
BANLEK,1022,5,1,5,2,2
BARCHHEN,778,5,0,162,0,5
BASUDEVI,698,0,0,0,0,8
BHUMIRAJMADAU,903,0,0,2,0,6
CHAWARA CHAUTARA,521,1,0,0,2,2
CHHAPALI,612,0,0,0,0,11
CHHATIWAN,557,10,1,169,1,4
DAHAKALIKASTHAN,436,1,0,0,0,10
DAUD,1163,2,0,0,0,8
DHANGLAGAU,410,4,1,255,4,1
DHIRKAMANDAU,322,1,0,0,0,1
DIPAYAL SILGADHI MUNICIPALITY,4572,498,69,289,29,36
DURGAMADAU,847,4,0,5,0,2
GADASERA,522,4,0,7,0,5
GAGUDA,577,1,0,1,0,5
GAIHRAGAU,725,0,0,0,0,0
GANJARI,492,1,0,1,0,10
GHANTESWOR,364,52,0,87,0,4
GIRICHAUKA,779,0,0,0,1,4
JIJODAMANDAU,391,0,0,0,1,1
KADAMADAUN,837,11,0,7,0,5
KALENA,534,1,0,0,1,6
KALIKASTHAN,1057,0,0,1,1,8
KANACHAUR,356,0,0,16,0,2
KAPALLEKI,731,18,0,1,0,3
KEDAR AKHADA,280,0,0,9,0,3
KHATIWADA,1198,1,1,0,0,7
KHIRSAIN,614,8,0,2,0,6
LADAGADA,863,2,0,0,0,6
LAMIKHAL,850,0,0,1,0,2
LANA KEDARESWOR,552,0,0,8,0,6
LATAMANDAU,1090,4,0,6,2,2
LAXMI NAGAR,841,6,0,60,3,1
MAHADEVSTHAN,775,1,0,2,0,20
MANNAKAPADI,518,0,0,10,0,0
MUDABHARA,962,3,0,0,0,5
MUDHEGAU,458,2,0,2,0,0
NIRAULI,507,0,1,20,0,0
PACHANALI,634,0,0,1,0,12
POKHARI,862,1,0,0,0,9
RANAGAU,572,9,0,6,0,9
SANAGAU,540,16,0,0,0,2
SARASWOTINAGAR,531,2,0,48,0,1
SATPHARI,511,0,0,4,0,1
SIMCHAUR,457,0,0,56,0,1
TIJALI,438,1,0,0,0,2
TIKHATAR,1182,0,0,0,0,6
TOLENI,1144,0,0,0,0,10
WAGALEK,826,1,0,0,0,16
WARPATA,847,8,0,2,0,1
TOTAL,39049,684,74,1245,47,284
