VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BANJA KAKANI,509,103,182,4
BANLEK,262,552,223,0
BARCHHEN,729,149,68,4
BASUDEVI,635,12,54,5
BHUMIRAJMADAU,745,64,97,5
CHAWARA CHAUTARA,313,42,170,1
CHHAPALI,213,253,147,10
CHHATIWAN,254,399,87,2
DAHAKALIKASTHAN,201,29,211,6
DAUD,698,360,111,4
DHANGLAGAU,527,79,68,1
DHIRKAMANDAU,264,2,56,2
DIPAYAL SILGADHI MUNICIPALITY,2582,2059,835,17
DURGAMADAU,639,113,106,0
GADASERA,333,109,92,4
GAGUDA,513,6,61,4
GAIHRAGAU,659,35,31,0
GANJARI,334,104,58,8
GHANTESWOR,51,384,71,1
GIRICHAUKA,334,395,52,3
JIJODAMANDAU,94,80,218,1
KADAMADAUN,713,110,35,2
KALENA,198,182,159,3
KALIKASTHAN,826,91,144,6
KANACHAUR,118,216,39,1
KAPALLEKI,385,95,272,1
KEDAR AKHADA,157,126,6,3
KHATIWADA,884,267,53,3
KHIRSAIN,477,114,36,3
LADAGADA,663,19,186,3
LAMIKHAL,695,114,42,2
LANA KEDARESWOR,367,83,116,0
LATAMANDAU,773,191,139,1
LAXMI NAGAR,407,416,88,0
MAHADEVSTHAN,701,33,57,7
MANNAKAPADI,169,352,7,0
MUDABHARA,561,200,207,2
MUDHEGAU,68,313,81,0
NIRAULI,303,69,156,0
PACHANALI,45,418,183,1
POKHARI,645,178,40,9
RANAGAU,427,93,72,4
SANAGAU,335,77,145,1
SARASWOTINAGAR,326,14,241,1
SATPHARI,498,7,10,1
SIMCHAUR,289,143,81,1
TIJALI,293,79,68,1
TIKHATAR,789,201,196,2
TOLENI,397,344,406,7
WAGALEK,253,297,279,14
WARPATA,462,360,33,3
TOTAL,24113,10531,6575,164
