VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AANPPIPAL,1013,106,1,1,0,2
AARU ARBANG,309,481,0,185,19,4
AARU CHANAUTE,990,70,0,2,0,7
AARUPOKHARI,331,642,2,101,3,0
ASRANG,799,27,1,0,0,4
BAGUWA,397,96,0,0,0,1
BAKRANG,757,32,0,0,3,1
MIRKOT,1234,154,0,0,0,0
BHUMLICHOK,600,78,0,7,0,0
BIHI,0,5,0,164,32,7
BORLANG,1130,41,2,1,0,5
BUNGKOT,1457,117,2,1,0,24
CHHEKAMPAR,180,0,0,64,17,2
CHHOPRAK,1295,221,0,3,0,12
CHUMCHET,90,17,0,132,26,1
CHYANGLI,1310,216,2,2,0,2
DARBUNG,402,265,1,93,0,2
DEURALI,1282,135,0,0,1,4
DHAWA,696,172,1,8,1,3
DHUNWAKOT,869,229,6,6,0,0
FINAM,706,34,1,0,25,0
FUJEL,1115,31,0,0,0,7
GAIKHUR,1167,107,1,0,0,1
GANKHU,522,158,0,13,0,1
GHAIRUNG,924,33,0,2,0,7
GHYACHOK,270,141,0,0,1,4
GHYALCHOK,1215,73,0,0,4,6
GUMDA,0,48,0,214,273,0
HANSAPUR,452,418,0,51,0,3
HARMI,800,103,0,2,0,2
JAUBARI,469,195,0,63,10,3
KASHIGAUN,351,34,4,12,13,0
KERABARI,279,236,0,56,1,0
KERAUJA,526,116,0,35,96,0
KHARIBOT,493,35,0,3,4,3
KHOPLANG,1189,195,0,0,0,3
LAPRAK,517,5,0,0,5,2
LAPU,0,120,0,103,213,14
LHO,51,80,3,43,79,0
MAKAISING,422,56,4,1,68,1
MANAKAMANA,1323,58,0,0,1,10
MANBU,1058,199,0,0,130,1
MASEL,519,313,0,178,5,0
MUCHHOK,677,212,0,6,1,3
NAMJUNG,767,41,0,1,0,0
NARESHWOR,935,85,0,0,0,6
PALUNGTAR,1926,175,1,0,2,4
PANCHKHUWA DEURALI,269,216,0,43,0,2
PANDRUNG,9,532,0,120,1,2
GORKHA MUNICIPALITY,8465,264,10,3,13,38
PROK,94,0,0,71,15,7
SAMAGAUN,157,1,0,33,6,0
SAURPANI,714,566,2,37,2,4
SHREENATHKOT,632,134,0,0,1,4
SIMJUNG,323,488,0,27,1,2
SIRDIBAS,342,0,0,203,26,1
SWARA,137,522,0,124,0,2
TAKLUNG,1003,108,0,2,1,7
TAKUKOT,376,432,0,93,0,1
TAKUMAJH LAKURIBOT,86,273,0,194,1,0
TANDRANG,909,126,0,2,0,1
TANGLICHOK,621,151,0,3,23,4
TAPLE,1073,32,0,1,4,10
THALAJUNG,631,48,0,2,0,0
THUMI,160,612,0,293,12,3
UHIYA,58,78,69,86,136,0
BARPAK,915,143,0,0,0,11
TOTAL,50788,11131,113,2890,1275,261
