VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AANPPIPAL,1075,35,3,6,0,0,4
AARU ARBANG,969,11,8,3,0,2,5
AARU CHANAUTE,620,338,35,32,0,20,24
AARUPOKHARI,1061,3,4,7,0,1,3
ASRANG,807,17,0,1,0,0,6
BAGUWA,484,4,3,1,0,1,1
BAKRANG,769,16,3,4,0,0,1
MIRKOT,1282,49,40,15,0,0,2
BHUMLICHOK,668,16,1,0,0,0,0
BIHI,200,0,1,0,0,0,7
BORLANG,1119,20,7,18,0,0,15
BUNGKOT,1500,67,1,5,0,0,28
CHHEKAMPAR,261,0,0,0,0,0,2
CHHOPRAK,1443,54,2,12,1,0,19
CHUMCHET,149,1,39,9,0,67,1
CHYANGLI,1391,94,6,37,0,2,2
DARBUNG,709,37,8,6,0,0,3
DEURALI,1045,300,33,34,0,5,5
DHAWA,857,4,3,14,0,0,3
DHUNWAKOT,1035,32,27,16,0,0,0
FINAM,741,23,1,1,0,0,0
FUJEL,1136,7,0,4,0,0,6
GAIKHUR,1188,47,16,20,1,1,3
GANKHU,655,24,8,6,0,0,1
GHAIRUNG,926,11,6,7,1,0,15
GHYACHOK,402,2,8,1,0,0,3
GHYALCHOK,1179,87,12,12,1,0,7
GUMDA,512,11,12,0,0,0,0
HANSAPUR,867,30,17,3,1,0,6
HARMI,859,31,3,6,0,0,8
JAUBARI,693,11,19,14,0,0,3
KASHIGAUN,406,1,5,1,0,1,0
KERABARI,539,18,1,3,0,0,11
KERAUJA,734,1,32,6,0,0,0
KHARIBOT,519,2,12,1,0,0,4
KHOPLANG,1298,18,30,35,0,0,6
LAPRAK,507,1,16,3,0,0,2
LAPU,395,2,22,8,0,5,18
LHO,156,3,6,1,5,83,2
MAKAISING,471,42,33,4,0,1,1
MANAKAMANA,1159,185,15,3,0,10,20
MANBU,1378,6,1,0,1,0,2
MASEL,985,14,1,15,0,0,0
MUCHHOK,819,14,34,27,0,0,5
NAMJUNG,782,19,3,3,1,0,1
NARESHWOR,988,25,1,3,0,0,9
PALUNGTAR,1648,402,16,16,15,6,5
PANCHKHUWA DEURALI,503,7,5,9,0,3,3
PANDRUNG,636,13,1,11,0,0,3
GORKHA MUNICIPALITY,4285,4309,102,46,1,2,48
PROK,177,2,1,0,0,0,7
SAMAGAUN,194,0,2,1,0,0,0
SAURPANI,1242,9,27,38,0,6,3
SHREENATHKOT,733,9,17,8,0,0,4
SIMJUNG,777,7,26,22,0,7,2
SIRDIBAS,538,0,12,17,1,2,2
SWARA,758,2,4,17,1,1,2
TAKLUNG,957,36,111,9,0,0,8
TAKUKOT,885,4,6,2,0,2,3
TAKUMAJH LAKURIBOT,538,0,9,6,0,0,1
TANDRANG,1011,14,3,7,0,1,2
TANGLICHOK,770,15,7,4,0,0,6
TAPLE,1066,37,4,3,0,0,10
THALAJUNG,641,28,6,5,0,0,1
THUMI,983,50,5,39,0,2,1
UHIYA,409,1,9,6,1,1,0
BARPAK,1003,20,25,7,0,0,14
TOTAL,57492,6698,936,680,31,232,389
