VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AANPPIPAL,170,731,219,0,0,0,1,2
AARU ARBANG,142,192,647,6,0,1,6,4
AARU CHANAUTE,25,642,94,282,1,0,0,25
AARUPOKHARI,114,811,148,2,0,0,0,4
ASRANG,40,429,342,14,0,0,0,6
BAGUWA,31,392,68,2,0,0,0,1
BAKRANG,83,480,225,3,0,0,0,2
MIRKOT,211,869,279,22,0,0,4,3
BHUMLICHOK,174,466,42,0,1,0,2,0
BIHI,1,10,0,0,189,0,0,8
BORLANG,66,716,376,6,0,0,2,13
BUNGKOT,64,891,557,63,0,0,0,26
CHHEKAMPAR,3,1,257,0,0,0,0,2
CHHOPRAK,298,952,246,17,1,0,1,16
CHUMCHET,3,10,90,3,133,0,26,1
CHYANGLI,220,1018,277,14,0,0,0,3
DARBUNG,122,527,111,0,0,0,0,3
DEURALI,172,851,190,201,3,0,0,5
DHAWA,49,667,161,1,0,0,0,3
DHUNWAKOT,189,726,189,6,0,0,0,0
FINAM,20,484,249,13,0,0,0,0
FUJEL,192,933,11,1,1,0,7,8
GAIKHUR,183,839,230,20,0,1,0,3
GANKHU,149,310,219,15,0,0,0,1
GHAIRUNG,119,734,95,1,0,0,0,17
GHYACHOK,62,31,317,0,3,0,0,3
GHYALCHOK,70,933,273,13,1,0,0,8
GUMDA,4,201,6,0,322,0,2,0
HANSAPUR,41,70,796,5,3,0,0,9
HARMI,122,667,112,2,0,0,0,4
JAUBARI,177,264,292,4,0,0,0,3
KASHIGAUN,4,118,196,0,96,0,0,0
KERABARI,148,181,222,1,0,0,0,20
KERAUJA,16,57,442,0,258,0,0,0
KHARIBOT,26,66,361,0,79,1,0,5
KHOPLANG,223,919,229,7,2,2,0,5
LAPRAK,0,45,1,1,480,0,0,2
LAPU,16,305,21,1,92,0,0,15
LHO,1,24,1,2,225,1,0,2
MAKAISING,186,345,17,2,0,0,0,2
MANAKAMANA,145,958,133,141,0,0,1,14
MANBU,48,967,42,3,326,0,0,2
MASEL,166,537,309,3,0,0,0,0
MUCHHOK,234,224,433,3,1,0,0,4
NAMJUNG,70,656,77,3,0,0,1,2
NARESHWOR,42,779,173,21,0,0,1,10
PALUNGTAR,178,1331,335,256,0,0,1,7
PANCHKHUWA DEURALI,84,196,247,0,0,0,0,3
PANDRUNG,124,344,192,2,0,0,0,2
GORKHA MUNICIPALITY,131,3635,1261,3504,5,4,204,49
PROK,1,40,9,0,129,1,0,7
SAMAGAUN,3,3,101,0,77,0,13,0
SAURPANI,239,125,957,0,1,0,0,3
SHREENATHKOT,185,398,179,3,1,0,1,4
SIMJUNG,107,164,567,0,1,0,0,2
SIRDIBAS,10,9,408,0,108,0,35,2
SWARA,215,170,368,0,30,0,0,2
TAKLUNG,245,610,239,19,0,0,0,8
TAKUKOT,163,468,266,3,0,0,0,2
TAKUMAJH LAKURIBOT,124,295,130,0,3,0,1,1
TANDRANG,47,792,192,3,0,0,2,2
TANGLICHOK,194,528,70,3,0,0,0,7
TAPLE,31,1007,42,25,0,0,3,12
THALAJUNG,148,421,109,1,0,0,0,2
THUMI,179,359,523,18,0,0,0,1
UHIYA,7,53,162,0,190,0,15,0
BARPAK,17,198,669,6,165,0,0,14
TOTAL,7073,34174,16801,4747,2927,11,329,396
