VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AAGLUNG,198,17,456,23,1,0,0,6
AMAR ARBATHOK,58,408,6,3,1,0,0,0
AMARPUR,179,124,533,2,1,0,0,1
ANPCHAUR,287,370,226,30,0,0,1,1
ARBANI,348,226,5,4,0,0,0,0
ARJAI,64,36,479,4,0,0,0,3
ARKHALE,51,945,424,12,2,0,0,5
ARKHAWANG,70,15,216,1,0,0,0,8
ARLANGKOT,274,70,110,1,0,0,0,0
ASLEWA,239,474,5,46,2,0,0,3
BADAGAUN,350,1161,209,7,0,0,0,2
BANJHAKATERI,190,22,572,0,0,0,0,0
BALETAKSAR,63,959,10,54,0,0,0,6
BALITHUM,330,186,330,10,0,0,2,1
BAMGHA,209,620,10,14,0,0,0,2
BHARSE,214,22,180,2,1,0,0,1
BHURTUNG,373,229,258,2,0,0,0,2
BIRBAS,146,757,144,41,0,0,0,0
BISUKHARKA,110,23,403,0,0,0,1,0
CHHAPAHILE,225,20,412,0,0,0,0,3
DARLAMCHAUR,156,56,451,2,0,0,0,2
DARBAR DEVISTHAN,107,774,338,29,0,0,1,4
DARLING,224,22,355,0,0,0,0,0
DAUNGHA,189,466,3,2,0,0,0,3
GHAMIR,187,64,511,5,0,0,0,1
BASTU,60,111,519,5,0,0,0,3
BHANBHANE,60,7,671,0,0,0,0,2
NAYAGAUN,78,287,642,0,0,0,0,8
DHURKOT RAJASTHAL,219,193,303,4,0,0,0,1
DIGAM,72,1027,40,42,1,0,0,0
DIBRUNG,186,18,245,0,0,0,0,2
DOHALI,215,38,593,2,0,0,0,4
DUBICHAUR,96,427,60,28,0,0,0,0
FOKSING,293,57,225,0,0,0,0,5
GAUNDAKOT,88,273,250,32,0,0,0,0
GWAGHA,300,151,51,2,0,0,0,0
GWADI,219,404,2,12,1,0,0,4
HADAHADE,258,370,252,2,0,0,0,1
HANSARA,204,364,28,27,0,0,1,2
HARDINETA,128,862,27,26,0,0,0,2
HAREWA,152,179,103,1,0,0,0,1
HARMICHAUR,268,230,3,24,0,0,0,2
HARRACHAUR,96,141,164,42,0,0,1,0
HASTICHAUR,241,710,589,11,1,0,0,0
HAWANGDI,114,6,268,0,0,0,0,1
HUNGA,123,482,233,10,1,3,2,4
ISMA RAJASTHAL,173,62,567,2,0,0,0,1
JAISITHOK,96,183,347,0,0,0,0,1
JAYAKHANI,177,70,20,0,0,0,0,3
JOHANG,284,547,182,76,1,0,0,8
JUNIYA,249,311,91,19,2,0,0,2
JUVUNG,199,187,552,9,0,0,0,0
KHADGAKOT,514,220,95,1,0,0,0,7
KHARJYANG,217,698,5,7,0,0,4,3
KURGHA,125,376,120,86,0,0,1,0
LIMGHA,336,342,20,6,3,0,0,1
MALAGIRI,118,3,328,0,0,0,0,1
MARBHUNG,273,68,517,22,0,0,0,3
MUSIKOT,154,545,141,2,0,0,2,13
MYAL POKHARI,56,1,448,1,0,0,1,0
NETA,306,51,329,0,0,0,0,10
PALLIKOT,91,402,130,8,0,0,1,1
PARALMI,331,284,73,1,0,0,1,5
PAUDI AMARAYEE,204,102,434,2,0,0,1,2
PIPALDHARA,55,190,511,2,0,0,0,3
PURKOT DAHA,53,9,810,15,2,0,0,3
PURTIGHAT,171,199,54,13,0,0,0,0
RIMUWA,193,358,2,8,0,0,0,1
RUPAKOT,219,348,298,10,0,0,0,3
RURU,57,725,0,86,0,0,7,0
SHANTIPUR,195,443,189,80,0,0,0,3
SIMICHAUR,146,746,289,37,0,0,0,5
SIRSENI,117,8,643,0,1,0,1,13
TAMGHAS,32,1703,125,2264,13,0,9,29
THANPATI,93,569,8,5,0,0,0,2
THULO LUMPEK,640,565,3,18,0,0,0,5
TURANG,305,182,380,89,0,0,0,5
WAGLA,142,46,618,6,0,0,0,1
WAMITAKSAR,257,620,343,96,0,0,2,5
TOTAL,14889,25566,20586,3535,34,3,39,235
