VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BARAI,1,0,0,1,197,13,0,1
BARGAUN,160,0,0,0,9,0,0,0
CHHIPRA,178,0,0,0,33,3,0,0
DANDAFAYA,198,0,0,1,168,1,0,0
DARMA,75,0,0,0,311,0,0,0
GOTHI,191,0,0,0,0,0,0,0
HEPKA,203,0,0,0,0,0,1,0
JAIR,374,0,3,1,0,6,0,0
KALIKA,437,0,0,0,91,5,0,0
KHAGALGAUN,216,0,0,0,2,1,0,0
KHARPUNATH,263,0,0,0,0,2,0,0
LALI,242,0,0,2,59,2,0,0
LIMI,6,0,0,0,137,38,0,0
MADANA,238,0,0,0,43,4,0,0
MAILA,404,0,2,12,291,16,16,0
MELCHHAM,163,0,0,0,0,0,0,0
MIMI,117,0,0,0,76,0,0,0
MUCHU,172,0,0,1,12,46,0,0
RAYA,129,0,0,0,218,0,0,1
RODIKOT,245,0,0,1,213,0,0,0
SARKEEDEU,285,0,0,45,63,2,1,0
SAYA,181,0,2,0,6,0,0,0
SHREE NAGAR,497,0,0,0,90,1,0,0
SHREEMASTHA,181,0,0,0,1,1,0,0
SIMIKOT,1121,0,1,0,103,18,1,5
SYADA,167,0,0,0,135,32,0,3
THEHE,157,0,0,0,282,4,0,0
TOTAL,6601,0,8,64,2540,195,19,10
