VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AMCHOK,921,4,2,61,0,2,1
BAJHO,332,25,833,488,2,268,29
BARBOTE,982,190,29,181,4,24,4
CHAMAITA,883,31,105,184,0,21,6
CHISAPANI,209,50,583,334,0,21,7
CHULACHULI,30,140,1358,2336,2,21,18
DANABARI,49,115,2007,927,7,13,19
DHUSENI,806,4,13,73,0,4,8
EBHANG,864,13,35,133,1,3,12
EKTAPPA,933,23,7,65,0,0,8
ERAUTAR,216,101,242,311,1,82,3
GAJURMUKHI,549,27,3,107,0,1,4
GODAK,567,126,51,374,2,13,4
GORKHE,473,70,453,112,0,9,5
ILAM MUNICIPALITY,2166,1736,104,398,100,106,122
JAMUNA,537,39,38,140,2,19,2
JIRMALE,455,86,325,183,2,8,10
JITPUR,1027,55,71,267,2,13,5
JOGMAI,371,23,260,65,0,2,5
KANYAM,940,352,161,102,1,158,1
KOLBUNG,436,149,316,199,0,24,10
LAXMIPUR,865,197,380,553,1,33,6
LUMDE,489,10,4,28,1,8,4
MABU,495,32,122,75,1,9,0
MAHAMAI,10,21,1536,621,2,3,9
MAIMAJHUWA,458,27,114,152,0,6,1
MAIPOKHARI,641,30,100,130,0,13,17
MANGALBARE,1152,210,20,79,18,22,5
NAMSALING,1033,37,13,199,2,6,9
NAYA BAZAR,799,32,121,135,0,1,2
PANCHAKANYA,831,328,379,202,3,156,12
PASUPATI NAGAR,606,503,785,60,1,7,18
PHAKPHOK,901,57,13,41,0,14,7
PHIKAL BAZAR,1094,649,613,264,1,47,23
PHUYATAPPA,731,38,6,54,0,5,6
PUWAMAJHUWA,475,18,33,99,0,2,7
PYANG,460,10,58,68,0,8,0
SAKFARA,148,28,300,260,0,3,5
SAKHEJUNG,733,58,16,114,0,7,4
SAMALBUNG,851,96,53,81,0,14,4
SANGRUMBA,994,34,17,156,1,2,6
SHANTI DANDA,980,34,11,70,1,2,3
SHANTIPUR,201,46,504,424,0,11,6
SHREE ANTU,606,264,146,52,0,15,3
SIDDHITHUMKA,530,31,79,128,0,5,5
SOYAK,381,20,77,235,0,12,2
SOYANG,922,10,16,108,0,5,3
SULUBUNG,686,9,7,87,0,1,9
SUMBEK,507,7,22,53,0,0,2
TOTAL,32325,6195,12541,11568,158,1229,461
