VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AMCHOK,56,160,773,2
BAJHO,466,291,1194,26
BARBOTE,18,576,820,0
CHAMAITA,59,371,793,7
CHISAPANI,117,273,808,6
CHULACHULI,1206,583,2102,14
DANABARI,819,539,1761,18
DHUSENI,19,280,602,7
EBHANG,93,116,840,12
EKTAPPA,16,196,819,5
ERAUTAR,59,309,583,5
GAJURMUKHI,20,201,467,3
GODAK,127,436,572,2
GORKHE,74,396,650,2
ILAM MUNICIPALITY,224,3163,1270,75
JAMUNA,14,236,526,1
JIRMALE,72,238,750,9
JITPUR,122,323,988,7
JOGMAI,14,212,496,4
KANYAM,78,980,654,3
KOLBUNG,119,422,587,6
LAXMIPUR,144,497,1390,4
LUMDE,33,136,373,2
MABU,48,192,494,0
MAHAMAI,883,219,1094,6
MAIMAJHUWA,5,262,490,1
MAIPOKHARI,18,278,634,1
MANGALBARE,46,783,673,4
NAMSALING,59,641,590,9
NAYA BAZAR,34,352,702,2
PANCHAKANYA,22,875,1002,12
PASUPATI NAGAR,36,1007,926,11
PHAKPHOK,44,235,748,6
PHIKAL BAZAR,63,1346,1264,18
PHUYATAPPA,7,268,559,6
PUWAMAJHUWA,23,218,387,6
PYANG,8,120,476,0
SAKFARA,192,236,311,5
SAKHEJUNG,32,537,360,3
SAMALBUNG,58,501,536,4
SANGRUMBA,98,281,825,6
SHANTI DANDA,13,535,553,0
SHANTIPUR,150,281,756,5
SHREE ANTU,5,472,608,1
SIDDHITHUMKA,117,265,390,6
SOYAK,152,206,368,1
SOYANG,27,232,804,1
SULUBUNG,12,294,487,6
SUMBEK,8,235,345,3
TOTAL,6129,21805,36200,343
