VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
ANARMANI,10235,42712,20892,21820,4.173131411822179,95.74702108157653
ARJUNDHARA,4560,20103,9466,10637,4.408552631578948,88.99125693334587
BAHUNDANGI,5479,23822,11105,12717,4.347873699580215,87.32405441534952
BAIGUNDHURA,1251,5640,2643,2997,4.508393285371703,88.18818818818819
BALUBADI,1246,5535,2632,2903,4.442215088282504,90.66482948673786
BANIYANI,1444,6458,3043,3415,4.472299168975069,89.10688140556368
BHADRAPUR MUNICIPALITY,4248,18164,8880,9284,4.275894538606403,95.6484274019819
BUDHABARE,5270,22936,10938,11998,4.352182163187856,91.16519419903317
CHAKCHAKI,2196,10202,4716,5486,4.645719489981785,85.96427269413051
CHANDRAGADHI,4514,18949,9013,9936,4.197828976517501,90.71054750402577
CHARPANE,4158,17462,8498,8964,4.1996151996152,94.80142793395805
DAMAK MUNICIPALITY,18104,75102,35438,39664,4.148365002209457,89.34550221863655
DANGIBARI,1758,7761,3581,4180,4.414675767918089,85.66985645933013
DHAIJAN,2204,9820,4544,5276,4.455535390199637,86.12585291887794
DHARAMPUR,3218,14091,6367,7724,4.378806712243629,82.43138270326256
DUWAGADHI,2591,10697,4994,5703,4.1285218062524125,87.56794669472208
GARAMANI,4725,21704,10358,11346,4.593439153439154,91.29208531641106
GAURADAHA,3514,14771,6897,7874,4.203471826977803,87.59207518415036
GAURIGANJ,2302,10673,5113,5560,4.63640312771503,91.96043165467626
GHAILADUBBA,2969,12671,5924,6747,4.267766924890536,87.80198606788203
GHERABARI,1480,6978,3312,3666,4.714864864864865,90.34369885433715
GOLDHAP,1701,7650,3509,4141,4.497354497354498,84.73798599372132
HALDIBARI,1792,7920,3721,4199,4.419642857142857,88.61633722314836
JALTHAL,2922,13363,6090,7273,4.573237508555784,83.73435996150145
JUROPANI,2589,11635,5630,6005,4.494013132483585,93.75520399666945
JYAMIRGADHI,2076,9853,4765,5088,4.746146435452794,93.65172955974843
KECHANA,1284,5957,2850,3107,4.639408099688474,91.7283553266817
KHAJURGACHHI,2036,9469,4662,4807,4.650785854616896,96.98356563345122
KHUDUNABARI,3457,15031,7011,8020,4.347989586346543,87.41895261845386
KOHABARA,2343,10326,4855,5471,4.407170294494239,88.74063242551637
KOROBARI,1260,6026,2913,3113,4.782539682539682,93.5753292643752
KUMARKHOD,1931,9585,4661,4924,4.963749352667012,94.65881397238017
LAKHANPUR,4695,20419,9468,10951,4.349094781682641,86.45785772988768
MAHABHARA,1542,6866,3250,3616,4.4526588845654995,89.8783185840708
MAHARANIJHODA,2373,10661,4911,5750,4.492625368731564,85.40869565217392
MAHESHPUR,2853,13136,6251,6885,4.604276200490712,90.7915758896151
MECHINAGAR MUNICIPALITY,13181,57545,27588,29957,4.365753736438814,92.09199853122809
PANCHGACHHI,2375,10816,5062,5754,4.554105263157894,87.97358359402155
PATHAMARI,955,4358,2049,2309,4.563350785340314,88.73971416197489
PATHARIYA,2333,10252,4821,5431,4.394342048864123,88.76818265512797
PRITHIVINAGAR,3655,15284,6814,8470,4.1816689466484265,80.4486422668241
RAJGADH,3444,15690,7413,8277,4.555749128919861,89.56143530264589
SANISCHARE,5606,25071,11948,13123,4.472172672136996,91.0462546673779
SATASIDHAM,6072,26171,12058,14113,4.310111989459815,85.4389569900092
SHANTINAGAR,4228,18649,8704,9945,4.410832544938505,87.52136752136752
SHARANAMATI,3092,14761,7043,7718,4.773932729624838,91.25421093547551
SHIVAGANJ,3030,13518,6228,7290,4.461386138613862,85.4320987654321
SURUNGA,6457,27470,12612,14858,4.254297661452687,84.88356440974559
TAGHANDUBBA,2075,10255,4999,5256,4.942168674698795,95.1103500761035
TOPGACHHI,5561,23946,10828,13118,4.306060061140083,82.54307059002896
