VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ANARMANI,9667,471,35,12,4,46
ARJUNDHARA,4032,492,24,6,4,2
BAHUNDANGI,4271,1130,29,18,2,29
BAIGUNDHURA,1064,166,16,4,0,1
BALUBADI,925,305,1,12,0,3
BANIYANI,1142,284,4,8,4,2
BHADRAPUR MUNICIPALITY,3790,368,25,8,1,56
BUDHABARE,4718,372,28,9,8,135
CHAKCHAKI,1785,365,13,15,8,10
CHANDRAGADHI,4009,449,21,13,9,13
CHARPANE,3716,406,18,2,2,14
DAMAK MUNICIPALITY,16765,1062,122,22,17,116
DANGIBARI,1450,275,13,12,4,4
DHAIJAN,1879,301,10,4,1,9
DHARAMPUR,2793,387,20,2,5,11
DUWAGADHI,2213,350,11,10,1,6
GARAMANI,4039,584,50,21,13,18
GAURADAHA,3107,343,33,13,1,17
GAURIGANJ,1102,1184,4,3,0,9
GHAILADUBBA,2588,345,12,17,3,4
GHERABARI,521,924,5,19,1,10
GOLDHAP,1568,107,13,3,2,8
HALDIBARI,1515,251,14,8,2,2
JALTHAL,2154,614,22,121,6,5
JUROPANI,2042,480,13,13,36,5
JYAMIRGADHI,1425,631,2,12,2,4
KECHANA,400,881,2,0,1,0
KHAJURGACHHI,1088,919,6,15,1,7
KHUDUNABARI,3104,276,30,4,26,17
KOHABARA,1485,819,4,22,9,4
KOROBARI,320,897,12,27,2,2
KUMARKHOD,1084,814,5,21,1,6
LAKHANPUR,4077,513,10,66,6,23
MAHABHARA,883,616,15,26,0,2
MAHARANIJHODA,2134,218,8,4,3,6
MAHESHPUR,2010,808,16,13,3,3
MECHINAGAR MUNICIPALITY,11560,1494,45,37,10,35
PANCHGACHHI,1775,582,3,6,1,8
PATHAMARI,400,546,0,8,0,1
PATHARIYA,1494,763,21,55,0,0
PRITHIVINAGAR,3314,301,21,11,2,6
RAJGADH,995,2234,9,180,15,11
SANISCHARE,5123,424,20,10,18,11
SATASIDHAM,5506,468,27,13,22,36
SHANTINAGAR,3726,460,10,7,10,15
SHARANAMATI,2117,946,8,8,1,12
SHIVAGANJ,2517,452,26,17,9,9
SURUNGA,5707,625,25,21,64,15
TAGHANDUBBA,1388,566,11,39,64,7
TOPGACHHI,4887,626,22,7,14,5
TOTAL,151374,29894,914,1004,418,780
